"BORGUE (ROBERTON)",,,,,,,,,,,,
Grid ref,NX600486,Long,-4.180074,Lat,54.812646,,,,,,,
Station no,5013,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,3.41,1.89,3.59,3.04,2.86,3.56,4.30,1.81,4.30,,
February,2.32,0.89,1.25,3.87,1.76,1.17,3.04,3.54,1.24,3.66,,
March,3.56,2.36,0.52,3.10,2.52,2.08,4.06,1.01,2.30,2.30,,
April,1.61,1.62,2.69,1.15,2.70,1.30,1.43,1.36,2.64,3.16,,
May,1.85,2.82,2.92,3.03,3.29,1.49,3.62,3.33,1.24,2.43,,
June,1.11,2.91,1.61,3.56,4.01,2.59,1.18,4.80,3.14,1.79,,
July,2.35,2.05,5.63,3.88,2.13,4.32,5.62,4.35,2.94,4.16,,
August,4.75,3.64,2.80,4.47,1.51,8.63,2.85,4.40,0.48,4.13,,
September,3.63,2.35,5.15,4.61,2.16,4.78,5.13,4.91,2.08,4.31,,
October,0.37,5.01,3.90,7.33,2.80,2.29,3.76,4.38,4.87,6.13,,
November,7.40,2.50,4.90,8.16,2.70,1.23,3.51,2.65,6.90,8.28,,
December,5.92,3.97,3.43,4.52,5.40,3.53,3.31,4.85,6.77,4.06,,
Total,39.18,33.53,36.69,51.27,34.02,36.27,41.07,43.88,36.41,48.71,,
Calc annual,39.18,33.53,36.69,51.27,34.02,36.27,41.07,43.88,36.41,48.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
