ROYSTON (THERFIELD RECTORY),,,,,,,,,,,,
Grid ref,TL335370,Long,-0.056080,Lat,52.015375,,,,,,,
Station no,971,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.79,1.44,0.98,0.81,2.35,2.79,,,,,,
February,3.75,0.56,1.62,1.94,1.71,0.77,,,,,,
March,3.18,3.13,0.58,2.04,1.47,0.77,,,,,,
April,2.72,1.32,1.92,0.22,0.49,1.44,,,,,,
May,3.06,2.42,1.48,2.73,3.91,0.39,,,,,,
June,1.26,1.15,1.70,1.91,1.86,2.31,,,,,,
July,1.33,0.66,3.10,3.10,0.13,3.18,,,,,,
August,4.25,5.02,2.54,3.12,,,,,,,,
September,2.20,3.12,2.25,1.29,,,,,,,,
October,0.75,2.16,2.95,2.14,,,,,,,,
November,3.84,3.74,1.34,3.74,,,,,,,,
December,1.39,2.01,0.54,1.65,,,,,,,,
Total,29.52,26.73,21.00,24.69,,,,,,,,
Calc annual,29.52,26.73,21.00,24.69,11.92,11.65,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
