ASHBY-ST-LEDGERS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP556688,Long,-1.1858124,Lat,52.314501,Elevation,500,ft,,,,,,,,,,,,,
Station no,RR8238,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.57,2.13,,2.86,2.3,2.6,,,,,,,,
February,,,,,,,,1.11,1.23,,0.7,0.26,2.26,,,,,,,,
March,,,,,,,,1.17,0.87,,2.02,1.38,1.41,,,,,,,,
April,,,,,,,,1.62,2.39,,4.8,1.26,2.5,,,,,,,,
May,,,,,,,,2.17,1.61,,2.55,1.5,0.94,,,,,,,,
June,,,,,,,,2.14,0.67,,3.69,0.43,1.14,,,,,,,,
July,,,,,,,,1.39,2.47,,3.58,0.59,5.02,,,,,,,,
August,,,,,,,,4.16,1.19,,1.39,2.77,4.19,,,,,,,,
September,,,,,,,,1.63,4.32,,2.4,1.09,2.15,,,,,,,,
October,,,,,,,,2.93,1.12,,1.98,1.19,0.79,,,,,,,,
November,,,,,,,,1.03,2,,1.25,1.96,1.36,,,,,,,,
December,,,,,,,,0.8,2.75,,2.14,1.95,2.97,,,,,,,,
Total,,,,,,,,21.72,22.75,,29.36,16.68,27.33,,,,,,,,
