"BOOTLE, CUMBERLAND",,,,,,,,,,,,,,,,,,,,
Grid ref,SD107884,Long,-3.3731646,Lat,54.283404,Elevation,87,ft,,,,,,,,,,,,
Station no,RR6088,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.37,3.51,5.91,7.3,5,3.95,6.33,3.87,2.53,8.55,5.18,3.88,5.6,1.85,8.16,3.51,
February,,,,1.53,3.09,3.67,3.97,3.34,3.25,4.28,2.88,5.9,6.26,1.43,3.09,1.24,3.93,3.33,3.39,
March,,,,1.79,3.87,2.43,4.33,1.7,4.8,1.15,2.67,2.52,4.38,4.33,2.33,1.22,3.03,3.62,1.52,
April,,,,2.35,2.43,0.76,1.74,4.39,3.78,2.61,1.95,3.62,1.38,0.55,1.51,1.56,1.29,2.98,2.46,
May,,,,,1.76,5.84,1.39,2.03,2.32,2.42,2.73,1.36,2.69,1.39,1.03,2.5,1.56,3.5,3.1,
June,,,,8.32,3.63,0.64,3.27,0.88,0.66,0.65,1.64,1.65,6.9,2.64,1.06,4.52,3,2.66,2.98,
July,,,,1.34,2.71,2.21,2.24,4.58,0.34,1.6,1.46,3.12,4.83,5.57,2.09,3.54,3.61,4.54,0.54,
August,,,,4.89,4.28,5.49,6.39,3.55,4.6,2.3,1.63,2.15,4.08,4.1,7.72,4.17,3.96,5.8,,
September,,,,5.38,4.66,1.96,8.26,4.27,2.41,8.43,3.26,2.43,7.98,2.23,5.38,5.89,5.26,2.2,,
October,,,,6.2,3.29,6.47,2.48,5.63,6.06,3.77,8.33,6.83,8.11,5.91,5.91,6.01,2.91,7.51,,
November,,,,5.52,5.91,6.09,6.42,1.01,3.55,4.46,3.42,4.44,5.19,2.89,4.67,4.67,3.89,8.77,,
December,,,,3.85,4.08,2.97,4.35,4.23,10.04,4.05,3.42,4.36,6.79,2.32,4.17,2.35,9.75,5.79,,
Total,,,,,43.22,44.44,52.14,40.61,45.76,42.05,37.26,40.91,67.14,38.54,42.84,43.27,44.04,58.86,,
