OLNEY (WATERWORKS),,,,,,,,,,,,
Grid ref,SP873510,Long,-0.725490,Lat,52.150394,,,,,,,
Station no,1028/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.02,1.86,2.26,1.21,2.10,3.64,1.06,2.46,3.63,,,
February,3.59,0.60,1.53,1.83,1.52,0.32,2.49,2.48,0.02,,,
March,3.55,2.96,0.61,2.28,1.88,0.84,1.96,1.72,2.58,,,
April,3.15,2.15,2.16,0.16,0.53,0.70,0.28,0.67,1.64,,,
May,2.90,3.51,2.15,2.44,4.05,0.38,1.88,1.99,0.54,,,
June,0.88,1.65,1.77,2.59,2.44,2.79,1.96,5.26,0.62,,,
July,1.19,0.40,2.51,2.42,,4.64,2.86,3.22,1.53,,,
August,3.08,2.60,2.59,4.27,0.67,2.70,1.60,1.81,1.45,,,
September,1.99,2.99,1.27,2.09,1.53,2.01,3.56,2.08,0.02,,,
October,0.97,3.25,2.04,1.83,1.37,1.77,1.62,2.17,1.60,,,
November,4.55,3.16,1.32,3.98,1.12,0.87,1.66,1.70,1.62,,,
December,2.16,2.21,0.77,1.99,1.84,2.82,2.10,2.31,3.78,,,
Total,31.03,27.34,20.98,27.09,19.05,23.48,23.03,27.87,19.03,,,
Calc annual,31.03,27.34,20.98,27.09,19.05,23.48,23.03,27.87,19.03,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
