"ARROCHAR, BRAESIDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 29784 04293,Long,-4.745376,Lat,56.200712,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,15.64,12.58,22.77,3.07,15.03,9.11,16.78,10.25,12.42,5.28,7.07,14.4,12.94,6.28,2.71,1.25,8.38,9.21,9.52,,,,,,
February,,,,,,,7.28,5.98,10.87,2.88,0.53,8.23,0.13,7.59,1.7,9.95,4.68,7.23,7.04,12,3.26,7.76,2.81,10.55,3.48,,,,,,
March,,,,,,,6.9,6.62,12.57,2.02,5.63,1.68,4.98,4.95,3.86,3.54,5.73,2.77,9.82,6.05,6.7,2.96,5.69,4.69,1.67,,,,,,
April,,,,,,,3,5.35,5.31,2.47,3.14,3.44,8.35,3.9,5.58,4.19,2.37,3.37,1.59,4.1,3.41,3.26,3.74,5.63,3.25,,,,,,
May,,,,,,,4.38,4.04,1.65,8.11,4.19,6.7,3.49,3.64,5.22,1.1,2.94,2.82,5.61,1.84,1.65,2.79,5.31,4.65,5.46,,,,,,
June,,,,,,,5.57,6.22,6.92,5.37,3.66,7.56,3.15,3.55,3.49,6.87,2.45,5.09,8.99,4.06,1.61,1.1,3.13,8.05,5.87,,,,,,
July,,,,,,,3.92,5.62,7.45,6.83,4.71,5.92,6.66,6.07,4.34,3.5,6.52,6.9,5.69,8.76,3.94,4.3,6.94,4.22,4.05,,,,,,
August,,,,,,,7.8,8.39,7.58,9.12,9.08,3.32,4.58,6.93,6.99,5.35,5.15,5.18,4.83,2.63,5.4,7.58,10.6,9.14,5.9,,,,,,
September,,,,,,,5.25,8.28,6.48,4.13,5.33,2.83,7.1,1.68,10.8,11.98,5.78,5.99,9.07,5.2,6.53,3.61,11.08,6.94,6.76,,,,,,
October,,,,,,,9.22,12.17,13.1,11.5,13.62,7.03,11.54,5.84,13.54,15.69,10.21,3.18,16.27,5.36,11.24,7.46,11.61,15.88,8.21,,,,,,
November,,,,,,,7.47,9.89,14.96,11.35,9.81,12.66,8.48,4.58,2.58,7.51,5.82,1.57,15.27,14.31,10.21,8.47,2.08,5.43,10.87,,,,,,
December,,,,,,,6.11,2.44,10.9,21.95,10.41,10.41,14.4,2.04,13.58,4.63,13.16,3.88,9.87,5.1,9.53,5.02,12.13,5.74,8.01,,,,,,
Total,,,,,,,82.54,87.58,120.56,88.8,85.14,78.89,89.64,61.02,84.1,79.59,71.88,62.38,106.99,75.69,66.19,55.56,83.5,90.13,73.05,,,,,,
