ARROCHAR (BENREOCH TIGHNESS),,,,,,,,,,
Grid ref,NN 29538 03446,Long,-4.748791,Lat,56.193023,Elevation,50,ft,,
Station no,RR2849,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,10.53,18.82,11.27,16.01,6.44,8.15,18.14,16.04,7.12,2.35
February,9.43,0.14,9.16,2.4,13.06,5.33,9.29,9,14.74,4.22
March,1.85,5.62,6.2,5.13,4.23,7.05,2.77,11.74,7.52,7.83
April,4.29,10.45,5.04,6.92,5.72,3.1,4.21,1.82,4.51,4.71
May,7.6,3.93,3.77,6.48,1.2,3.05,3.05,6.13,2.27,1.77
June,8.38,3.5,3.83,3.45,6.82,2.38,5.63,10.82,4.44,1.73
July,6.41,7.05,6.44,4.07,3.28,8,7.55,6.11,9.46,4.11
August,3.31,4.96,7.15,7.73,5.12,5.2,5.36,4.76,2.98,5.67
September,3.28,7.41,1.62,11.77,13.3,6.2,6.86,9.8,5.8,7.12
October,8.48,13.13,6.62,15.82,18.3,12.41,3.49,18.66,5.03,13.82
November,14.58,9.48,4.85,3.12,9.29,6.76,1.76,17.01,16.2,12.5
December,12.28,15.81,2.33,15.18,6.47,15.16,4.4,11.02,5.83,12.26
Total,90.42,100.3,68.28,98.08,93.23,82.79,72.51,122.91,85.9,78.09
