"ARROCHAR HOUSE",,,,,,,,,,,,
Grid ref,NN296039,Long,-4.748080,Lat,56.197118,,,,,,,
Station no,RR2849,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.80,8.00,10.40,9.30,10.30,13.60,7.60,10.50,12.00,,
February,,5.55,1.80,14.55,8.40,7.45,7.00,9.15,7.85,5.70,,
March,,4.70,5.20,16.00,5.10,11.30,7.00,9.40,8.20,2.20,,
April,,6.40,4.00,3.10,7.00,5.95,4.40,6.80,2.30,8.10,,
May,,1.40,3.85,3.10,5.20,4.00,7.70,7.20,4.15,7.20,,
June,,6.30,1.50,2.50,4.70,2.60,1.30,7.50,4.70,4.20,,
July,,2.30,2.90,5.70,4.60,4.90,5.60,2.95,7.20,5.90,,
August,,6.10,2.65,13.10,6.90,7.90,7.80,10.85,7.75,3.85,,
September,,7.50,6.10,5.90,7.85,6.30,4.30,2.90,13.10,3.80,,
October,,9.60,5.95,16.10,6.20,7.10,11.25,6.40,2.95,11.20,,
November,,6.10,7.50,6.30,4.95,9.25,9.20,8.70,8.10,1.20,,
December,,5.80,9.20,7.10,9.20,9.95,9.10,10.05,10.05,5.80,,
Total,,67.55,58.65,103.85,79.40,87.00,88.25,89.50,86.85,71.15,,
Calc annual,0.00,67.55,58.65,103.85,79.40,87.00,88.25,89.50,86.85,71.15,,
Difference,NaN,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
