ARROCHAR  GLEN LOIN HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 30016 05068,Long,-4.742124,Lat,56.207747,Elevation,50,ft,,,,,,,,,,,,,
Station no,RR2849,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,4.05,6.79,6.62,10.56,13.64,9.4,11.21,10.41,9.98,18.1,15.5,23.29,3.23,
February,,,,,,,,1.53,9.31,1.47,13.54,3.66,7.37,11.99,4.63,9.57,9.77,6.93,13.66,3.3,
March,,,,,,,,4.5,3.03,5.77,9.43,12.44,2.97,4.68,0.95,4.86,10.54,8.91,12.46,2.42,
April,,,,,,,,2.63,1.57,5.43,4.11,2.29,4.84,6.66,6.42,10.09,3.76,8.54,5.67,2.71,
May,,,,,,,,4.01,3.19,1.5,10.89,5.52,5.36,4.66,6.74,11.75,5.59,5.01,1.74,8.57,
June,,,,,,,3,4.41,4.13,5.43,2.69,1.31,3.83,3.82,5.79,1.91,6.59,7.52,7.6,5.92,
July,,,,,,,3.96,2.56,4.42,2.19,6.28,6.15,5.96,8.96,10.11,3.85,5.29,6.39,8.45,6.76,
August,,,,,,,4.91,10.94,5.89,5.87,6.54,7.56,4.67,10.71,6.75,5.86,9.44,9.78,8.11,9.7,
September,,,,,,,3.98,7.31,8.43,6.41,4.83,3.77,4.22,14.37,10.92,6.59,7.09,8.89,7.04,4.89,
October,,,,,,,13.07,14.44,9.77,1.78,5.22,9.33,3.8,17.29,6.9,9.39,12,13.59,13.79,13.2,
November,,,,,,,9.77,16.48,10.15,6.84,10.44,5.28,5.94,8.75,9.2,2.28,12.34,10.45,16.36,12.76,
December,,,,,,,8.9,5.21,10.12,13.6,6.88,12.6,5.59,9.7,14.13,7.58,8.26,2.37,11.78,23.62,
Total,,,,,,,,78.07,76.8,62.91,91.41,83.55,63.95,112.8,92.95,83.71,108.77,103.88,129.95,97.08,
