ARROCHAR HOUSE,,,,,,,,,,
Grid ref,NN296039,Long,-4.74808,Lat,56.197118,Elevation,50,ft,,
Station no,RR2849,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,5.8,8,10.4,9.3,10.3,13.6,7.6,10.5,12
February,,5.55,1.8,14.55,8.4,7.45,7,9.15,7.85,5.7
March,,4.7,5.2,16,5.1,11.3,7,9.4,8.2,2.2
April,,6.4,4,3.1,7,5.95,4.4,6.8,2.3,8.1
May,,1.4,3.85,3.1,5.2,4,7.7,7.2,4.15,7.2
June,,6.3,1.5,2.5,4.7,2.6,1.3,7.5,4.7,4.2
July,,2.3,2.9,5.7,4.6,4.9,5.6,2.95,7.2,5.9
August,,6.1,2.65,13.1,6.9,7.9,7.8,10.85,7.75,3.85
September,,7.5,6.1,5.9,7.85,6.3,4.3,2.9,13.1,3.8
October,,9.6,5.95,16.1,6.2,7.1,11.25,6.4,2.95,11.2
November,,6.1,7.5,6.3,4.95,9.25,9.2,8.7,8.1,1.2
December,,5.8,9.2,7.1,9.2,9.95,9.1,10.05,10.05,5.8
Total,,67.55,58.65,103.85,79.4,87,88.25,89.5,86.85,71.15
,,,,,,,,,,
Comment in BR 1910,,,,,,,,,,
We are sorry to lose the name of Arrochar House but,,,,,,,,,,
we cannot regret the loss of the record very much for it was always,,,,,,,,,,
unsatisfactory.,,,,,,,,,,
