DARWEN PICKUP BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD720236,Long,-2.42437,Lat,53.7087,Elevation,728,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2946/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.17,7.23,5.2,6.85,6.36,2.27,1.59,6.22,7.79,6.35,4.02,4.23,4.43,9.34,3.8,4.64,5.7,6.71,2.42,5.31,4.77,6.72,5.46,5.66,4.93,7.2
February,,,,,7.57,3.78,7.51,2.26,5.57,2.7,6.57,1.22,3.66,2.34,5.43,5.1,0.84,3.79,3.78,7.08,4.81,1.8,2.68,4.92,3.62,2.27,5.42,7.41,0.84,7.62
March,,,,,1.44,3.91,2.64,2.14,3.34,3.75,3.98,3.9,1.16,0.79,1.67,1,7.7,3.06,2.2,2.97,5.98,2.74,2.63,3.51,3.26,2.48,3.94,1.6,3.15,2.08
April,,,,,4.32,1.44,4.75,1.1,3.18,3.64,1.74,2.75,3,2.87,2.27,1.48,5.27,2.69,4.16,3.05,3.26,4.35,5.18,1.28,4.04,3.28,0.56,1.17,5.01,3.67
May,,,,,1.74,0.9,2.12,4.77,1.95,0.76,3.09,4.1,2.23,3.37,3.3,1.85,3.42,2.84,3.8,2.87,2.12,3.29,3.37,2.93,5.4,2.42,2.43,5.86,1.22,2.76
June,,,,,4.06,4.12,2.68,5.38,4.35,1.03,0.44,1.47,3.02,3.62,4.44,3.34,3.59,8.05,1.57,2.75,1.9,4.23,3.97,3.74,4.47,2.68,2.18,5.5,5.15,2.3
July,,,,,2.15,4.98,2.25,5.28,8.08,6.22,3.18,7.1,3.76,4.56,2.78,4.62,3.8,3.03,2.52,5.11,3.89,3.01,5.6,7.22,1.31,7.16,9.83,4.4,5.7,11.45
August,,,,,2,3.14,3.07,3.18,3.44,3.01,6.97,6.43,6.73,3.89,2.8,7.91,0.25,5.36,3.21,7.86,5.76,6.05,6.24,8.3,1.38,17.03,8.67,6.39,0.9,7.53
September,,,,,8.61,5.01,2.08,2.58,1.75,5.36,1.6,4.11,5.43,6.25,3.62,5.57,4.43,3.73,2.36,8.53,3.84,5.72,5.65,6.92,5.62,3.84,9.79,6.54,0.47,3.77
October,,,,,10.89,6.11,2.54,12.26,2.37,6.16,5.53,8.94,4.04,5.33,7.41,0.89,1.24,3.32,6.49,3.59,1.39,6.06,2.65,9.79,4.21,3.62,8.9,6.88,6.89,6.18
November,,,,,6.08,7.38,2.28,8.83,9.15,8.11,3.68,1.49,4.13,7.36,0.65,7.45,6.6,2.95,8.46,7.24,10.16,3.26,6.71,9.58,3.51,2.31,3.01,2.33,8.73,10.76
December,,,,,4.86,6.78,3.92,6.16,3.97,6.33,3.17,5.28,2.4,4.85,3.41,6.33,4.63,6.15,7.45,3.76,12.29,5.55,2.36,8.94,8.21,7.73,7.31,5.83,13.1,6.6
Total,,,,,56.89,54.78,41.04,60.79,53.51,49.34,41.54,53.01,47.35,51.58,41.8,49.77,46.2,54.31,49.8,59.45,61.1,52.77,49.46,72.44,49.8,61.54,67.5,59.57,56.09,71.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to CEDA Archive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
