SLAIDBURN-HOLDRON-MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD606511,Long,-2.6018906,Lat,53.954483,Elevation,1300,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3078/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.39,6.05,4.9,9.98,6.66,4,1.22,7.69,11.33,10.38,6.13,,6.26,14,6.5,7.05,8.68,8.95,4.19,8.37,5.61,,9.7,6.6,5.33,7.89
February,,,,,10.24,3.05,8.44,3.25,6.97,2.92,8.05,3.51,4.08,4.08,9.18,,1.57,4.93,4.5,8.16,6.42,3.16,3.87,5.9,3.08,,5.52,11.73,2.5,7.8
March,,,,,2.14,4.66,2.26,2.88,4.14,6.12,4.25,3.66,1.9,1.37,4.12,1.8,10.1,5.3,3.21,5,7.8,6.25,2.03,4.9,2.86,,6.62,3.57,4.41,2.77
April,,,,,4.56,1.2,5.11,1.26,4.16,5.04,2.62,3.49,4,4.38,4.4,2.38,4.83,3.08,8.15,5.3,5.8,6.04,5.15,2.46,6.05,,1.38,3.52,4.67,5.75
May,,,,,1.53,1.69,2.85,5.23,1.26,1.61,4.66,5.71,4.66,5.04,4.61,1.84,3.48,3.45,3.5,2.7,2.66,4.25,4.29,3.99,7,,3.78,8.64,3.43,3.46
June,,,,,6.73,6.27,5.13,6.96,5.73,0.89,1.02,1.53,6.48,5.9,7.6,5.21,4.04,9.19,1.91,6.76,1.74,7,4.42,7.74,6.25,,3.52,6.29,5.15,3.02
July,,,,,4.18,8.1,3.31,6.67,10.65,7.77,2.04,7.98,6.29,5.57,4.51,7.28,7.05,4.87,5.5,7.93,6.35,5.3,11.56,15.4,2.18,,9.84,5.42,6.83,14.99
August,,,,,4.3,4.97,3.22,5.77,2.93,4.76,10.28,7.95,10.8,3.97,3.08,11.43,0.12,8.1,4.45,13.15,6.8,11.58,8.69,10.55,1.17,,8.5,5.93,1.35,6.37
September,,,,,11.76,6.97,4.26,4.33,3.1,9.5,2.54,7.41,7.68,11.52,6.4,11.35,7,8.28,4.05,12,6.85,6.71,10.9,11.97,5.99,,13.22,9.2,0.9,5.75
October,,,,,13.06,7.47,3.14,16.22,2.94,6.63,8.39,12,6.29,8.33,8.54,0.93,1.4,6.33,9.85,5.9,2.78,5.66,2.57,16.85,4.65,,11.38,8.05,8.6,5.64
November,,,,,7.18,8.68,2.38,8.75,10.19,9.09,4.28,2.07,5.68,8.71,0.86,11.58,9.66,4.75,8.74,9.23,11.8,3.66,11.05,11.31,3.71,,3.06,3.38,8.72,13.92
December,,,,,4.35,8.35,4.92,7.67,5.13,9.39,5.81,5.98,3.91,7.7,5,8,6.4,6.15,12.19,3.85,19.87,7.42,4.05,12.95,10.44,,8.78,6.82,15.76,9.75
Total,,,,,74.42,67.46,49.92,78.97,63.86,67.72,55.16,68.98,73.1,76.95,64.43,,61.91,78.43,72.55,87.03,87.55,75.98,72.77,112.39,58.99,,85.3,79.15,67.65,87.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Holdron Moss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stated altitude 25 ft too low or gauge is 100m SE to match altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 12371, continues to 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1940 adusted for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956 readings have been crossed out on original record with no explanation, not included in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
