TORQUAY-GREYS-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX920639,Long,-3.5222,Lat,50.465,Elevation,260,ft,,,,,,,,,,,,
Station no,RR6405,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,3.39,1.1,1.07,6.12,3.02,1.53,3.22,4.46,4.03,0.77,2.52,1.02,
February,,,,,,,,0.77,0.46,1.48,1.47,0.02,2.08,4.88,1.99,0.03,0.52,3.21,2.32,
March,,,,,,,,1.67,5.05,3.94,1.59,4.21,1.15,0.25,1.74,3.07,3.59,5.88,,
April,,,,,,,,1.23,1.77,1.74,3.03,1.64,0.9,0.47,2.43,2.45,0.13,4.12,,
May,,,,,,,,1.94,2.66,1.97,1.97,3.42,0.64,1.14,2.67,0.7,0.03,1.76,,
June,,,,,,,,0.08,2.54,0.5,2.34,4.06,1.56,0.76,2.52,1.15,2.01,2.78,,
July,,,,,,,,1.36,5.46,3.11,2.56,3.51,1.48,4,4.38,2.93,1.63,0.88,,
August,,,,,,,,1.7,2.4,2.29,2.71,5.84,3.65,0.94,3.28,2.57,1.2,3.62,,
September,,,,,,,,2.58,0.71,1.28,0.81,1.04,2.54,1.36,3.1,0.34,5.51,3.4,,
October,,,,,,,,3.36,1.71,4.77,0.71,10.48,4.93,2.94,8.03,4.08,4.16,1.17,,
November,,,,,,,,4.49,8.73,1.73,3.01,5.05,3,2.03,7.73,7.98,0.89,1.45,,
December,,,,,,,,3.23,3.18,2.52,4.59,6.36,1.39,4.99,2.46,5.66,7.48,7.14,,
Total,,,,,,,,25.8,35.77,26.4,30.91,48.65,24.85,26.98,44.79,34.99,27.92,37.93,,
