"CROWAN (BOSWYN RESERVOIR)",,,,,,,,,,,,
Grid ref,SW660362,Long,-5.278888,Lat,50.179509,,,,,,,
Station no,1870,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.94,5.55,1.43,3.63,6.49,6.10,3.65,7.27,7.04,5.04,,
February,4.55,1.73,2.01,6.11,4.92,1.14,6.17,6.06,0.57,6.18,,
March,5.63,4.51,1.20,4.67,1.55,1.83,5.50,5.99,5.25,5.11,,
April,2.36,3.89,3.21,0.78,1.78,0.84,0.96,1.37,3.93,2.88,,
May,4.17,1.41,4.06,4.22,4.33,1.97,2.81,3.24,1.87,2.58,,
June,0.85,1.45,2.58,3.30,5.34,3.23,3.40,4.67,1.35,1.63,,
July,1.05,2.08,5.30,3.88,0.07,4.26,3.72,3.92,2.30,5.30,,
August,5.28,4.43,2.38,2.75,0.55,3.95,4.98,5.92,2.89,3.98,,
September,4.31,5.80,3.68,5.37,2.09,6.38,4.40,6.14,0.13,7.98,,
October,2.70,5.65,2.95,3.77,5.56,2.53,4.09,3.41,5.59,9.55,,
November,6.84,7.35,2.66,8.16,3.32,3.04,3.20,3.11,9.68,7.31,,
December,5.26,3.54,1.53,4.55,7.91,8.25,5.27,6.16,10.56,5.73,,
Total,48.94,47.39,32.99,51.19,43.91,43.52,48.15,57.26,51.16,63.27,,
Calc annual,48.94,47.39,32.99,51.19,43.91,43.52,48.15,57.26,51.16,63.27,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
