CROWAN-BOSWYN-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW660362,Long,-5.278888,Lat,50.179509,Elevation,511,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,7.8,1.72,4.05,2.11,2.59,,,5.54,4.18,5.75,3.17,4.98,3.96,,,9.16,3.98,8.58,4.81,5.83,3.54,4.74,1.55,6.72,7.52,6.17,8.24,3.86,5.07,5.69,7.87,5.04,3.94,6.52,7.56,9.9,2.11,2.57,5.94,5.55,1.43,3.63,6.49,6.1,3.65,7.27,7.04,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.36,5.38,7.6,6.29,1.37,,,0.81,0.77,4.01,7.84,2.49,5.58,,,4.04,5.01,3.97,3.78,0.08,3.66,0.4,3.97,9.25,8.05,2.41,2.97,5.75,8.07,0.59,1.98,1.53,4.61,4.32,1.51,1.78,1.68,8.43,4.55,1.73,2.01,6.11,4.92,1.14,6.17,6.06,0.57,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,4.49,7.29,0.9,5.14,4.4,,,4.04,3.84,2.88,2.04,2.15,0.61,1.09,,7.26,1.04,4.01,5.42,1.96,4.88,5.43,1.28,5.28,6.37,0.94,2.54,3.2,4.7,4.21,0.81,0.78,1.42,2.84,8.94,2.66,1.77,3.34,5.63,4.51,1.2,4.67,1.55,1.83,5.5,5.99,5.25,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,5.33,1.84,2.11,1.42,1.62,,,4.57,1.14,3.36,4.49,3.26,3.79,2.21,,4.08,1.26,4.13,2,2.92,2.61,4.11,5.36,2.91,4.33,0.03,3.56,3.92,2.14,2.53,2.81,2.9,,1.36,1,3.46,2.56,2.87,2.36,3.89,3.21,0.78,1.78,0.84,0.96,1.37,3.93,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,4.06,1.16,3.18,2.14,2.28,,,1.85,2.76,1.44,2.89,3.19,4.2,2.41,,1.93,5.21,2.24,4.41,5.61,3.12,2.45,1.74,1.71,2.58,3.38,1.31,0.64,3.31,7.21,3.99,0.56,,5.15,2.17,2.75,3.42,2.6,4.17,1.41,4.06,4.22,4.33,1.97,2.81,3.24,1.87,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.73,3.13,2.7,1.95,3.83,,,2.91,0.15,1.88,0.65,2.13,0.15,3.18,,2.5,3.03,2.35,3.78,1.81,1.94,2.01,3.3,1.85,1.89,1.84,2.49,1.24,2.76,0.53,1.68,3.82,5.41,3.82,3.61,2.64,0.73,2.01,0.85,1.45,2.58,3.3,5.34,3.23,3.4,4.67,1.35,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,0.51,5.23,4.01,1.78,1.64,,,6.59,1.89,4.32,1.25,4.11,3.47,1.05,,1.88,1.55,2.1,6.05,6.24,2.54,0.43,0.75,8.23,2.25,4.78,6.25,2.91,0.88,2.47,3.88,4.36,6.02,2.76,2.33,2.25,2.1,4.36,1.05,2.08,5.3,3.88,0.07,4.26,3.72,3.92,2.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.69,1.97,1.68,3.84,6.72,,,,4.16,3.74,2.34,3.42,4.05,3.11,,2.26,3.72,6.04,6.22,1.72,3.2,4.54,3.88,0.88,0.71,4.48,2.66,0.27,5.79,3.82,3.4,2.38,2.59,5.76,0.83,5.26,1.93,7.94,5.28,4.43,2.38,2.75,0.55,3.95,4.98,5.92,2.89,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,4.21,2.67,1.94,1.94,2.51,,,4.03,0.75,3.47,2.76,4.55,3.13,0.77,,1.99,0.52,7.05,2.52,3.49,2.21,3.95,4.82,4.38,4.38,3.18,0.87,2.51,1.38,3.18,5.53,2.61,3.26,6.86,2.14,2.5,3.14,6.45,4.31,5.8,3.68,5.37,2.09,6.38,4.4,6.14,0.13,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.45,3.11,5.82,6.32,6.09,,,,1.82,2.08,6.01,10.1,4.89,2.7,,8.75,8.04,6.02,1.37,9.58,8.25,3.87,4.58,1.94,4.23,5.89,4.68,5.03,1.98,3.91,3.94,5.7,3.86,4.44,2.11,7.85,9.71,3.15,2.7,5.65,2.95,3.77,5.56,2.53,4.09,3.41,5.59,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
