PURTON-MODERN-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU092875,Long,-1.8686077,Lat,51.586282,Elevation,395,ft,,,,,,,,,,,,
Station no,1539/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.21,2.33,0.65,3.28,3.97,2.91,5.07,2.74,3.26,2.87,4.39,1.55,,2.13,1.52,,,
February,,,3.2,0.23,1.97,1.9,4.69,0.88,1.52,2.32,2.5,0.53,1.03,0.86,,2.3,,,,
March,,,3.19,2.04,0.68,2.03,2.61,0.27,1.77,2.29,2.91,2.29,0.96,0.36,,1.17,,,,
April,,,1.31,1.85,3.65,1.8,3.45,0.1,3.18,1.43,1.57,1.04,0.66,1.23,,2.09,2.49,,,
May,,,1.87,0.83,1.18,1.09,2.21,2.31,1.21,1.34,1.25,4.6,2.67,0.51,,4.68,1.62,,,
June,,,3,1.42,4.49,2.36,1.44,1.32,2.63,0.69,1.46,0.31,1.45,2.05,,2.61,1.46,,,
July,,,2.19,1.33,0.71,5.29,2.02,2.02,4.45,3.39,1.8,2.09,1.54,2.14,,1.37,2.03,,,
August,,,0.99,1.73,1.79,0.49,0.72,3.24,1.65,0.07,3.94,4.3,2.43,2.46,,6,0.5,,,
September,,,3.53,2.33,4.6,3.05,1.94,3.97,1.14,1.23,0.29,1.49,1.16,1.91,,3.59,1.13,,,
October,,,2.07,1.89,4.21,1.66,3.97,3.66,3.67,2.9,1.98,3.6,2.75,3.25,,1.1,0.28,,,
November,,,0.84,1.3,5.59,2.93,1.41,3.51,5.01,7.05,2.78,1.83,1.41,4.23,,4.88,2.3,,,
December,,,0.5,6.15,3.26,3.74,2.28,2.87,1.87,1.33,1.48,3.75,1.11,1.8,,2.2,1.93,,,
Total,,,24.9,23.43,32.78,29.62,30.71,27.06,33.17,26.78,25.22,28.7,21.56,22.35,,34.12,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar estimated,,,,,,,,,,,,,,,,,,,,
