MICHELDEVER-STOKE-CHARITY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU487391,Long,-1.30402,Lat,51.14983,Elevation,221,ft,,,,,,,,,,,,,
Station no,RR8493,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,3.75,4.52,3.48,2.96,4.54,1.86,3.19,,,,,,
February,,,,,,,,,1.42,2.45,0.79,0.25,2.99,5.74,0.36,,,,,,
March,,,,,,,,,0.96,5.19,2.21,1.32,2.51,1.82,1.23,,,,,,
April,,,,,,,,,2.96,2.17,3.7,0.87,3.75,2.61,3.59,,,,,,
May,,,,,,,,,2.11,0.75,1.09,2.33,0.95,1.95,3.76,,,,,,
June,,,,,,,,,1.37,0.84,1.89,0.04,1.3,0.36,1.82,,,,,,
July,,,,,,,,,6.84,1.65,4.96,0.4,5,0.89,,,,,,,
August,,,,,,,,,1.58,3.21,1.6,1.71,3.12,3.35,,,,,,,
September,,,,,,,,,4.91,2.92,1.42,1.17,2.06,2.17,,,,,,,
October,,,,,,,,,1.38,0.83,3.55,1.07,1.27,6.33,,,,,,,
November,,,,,,,,,3.06,2.07,2.31,2.47,1.85,1.95,,,,,,,
December,,,,,,,,,2.65,6.51,2.67,1.45,4.11,3.66,,,,,,,
Total,,,,,,,,,32.99,33.11,29.67,16.04,33.45,32.69,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Rectory Stoke Charity,,,,,,,,,,,,,,,,,,,,,
