"KIRKCALDY (CARBERRY)",,,,,,,,,,,,
Grid ref,NT284948,Long,-3.153793,Lat,56.140512,,,,,,,
Station no,5480,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.05,1.62,0.54,2.69,1.65,2.76,4.01,1.47,1.04,4.57,,
February,2.46,0.53,0.79,1.93,1.86,1.33,3.18,2.54,0.55,2.17,,
March,3.04,2.65,0.58,2.28,1.76,1.46,2.57,2.95,1.12,2.35,,
April,2.31,1.37,2.23,1.54,0.90,1.08,1.27,1.71,2.50,1.23,,
May,3.02,1.66,2.07,6.06,2.18,1.03,1.93,2.13,0.37,1.99,,
June,2.46,2.43,1.20,2.53,1.00,3.84,1.27,2.87,2.41,1.60,,
July,5.39,2.75,4.41,2.40,1.19,4.97,6.40,5.68,3.60,3.27,,
August,3.61,3.35,1.58,3.67,0.68,7.31,4.11,3.70,0.67,4.21,,
September,2.38,1.42,3.71,4.13,1.95,3.61,1.97,2.11,0.69,1.23,,
October,0.36,1.85,1.32,7.88,1.96,1.67,2.25,2.05,2.00,4.51,,
November,4.78,1.90,3.89,3.51,1.24,0.46,1.89,1.17,5.47,3.47,,
December,2.64,2.38,3.08,3.10,5.75,2.80,3.49,6.08,4.14,2.88,,
Total,36.50,23.91,25.40,41.72,22.12,32.32,34.34,34.46,24.56,33.48,,
Calc annual,36.50,23.91,25.40,41.72,22.12,32.32,34.34,34.46,24.56,33.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
