TAVISTOCK-KILWORTHY-LANE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX481746,Long,-4.14486,Lat,50.55184,Elevation,362,ft,,,,,,,,,,,,
Station no,RR4639,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,10.09,9.18,7.18,9.76,2.09,9.82,3.34,6.98,1.04,2.93,,,,,,,,
February,,,8.3,3.78,4.95,2.32,6.31,3.42,3.94,7.08,6.04,6.81,,,,,,,,
March,,,6.24,5.08,1.88,1.62,4.45,4.76,2.47,1.45,2.37,6.08,,,,,,,,
April,,,3.32,0.48,3.32,1.59,5.09,5.39,3.73,3.02,3.16,1.14,,,,,,,,
May,,,1.57,2.1,0.73,3.34,0.4,5.07,6.37,3.85,1.13,1.7,,,,,,,,
June,,,5.2,4.15,1.6,5.46,1.85,2,3.66,10.98,2.29,5.26,,,,,,,,
July,,,4.3,4.78,2.29,5.35,2.14,6.06,1.87,4.15,6.62,2.89,,,,,,,,
August,,,2.74,7.29,5.73,3.02,5.88,7.06,5.54,7.74,1.02,6.21,,,,,,,,
September,,,4.72,2.87,7.58,6.26,8.17,3.36,4.31,6.18,5.9,2.17,,,,,,,,
October,,,8.14,3.47,7.83,7.43,5.29,5.12,5.87,2.2,6.72,4.56,,,,,,,,
November,,,8.74,5.76,4.51,6.76,6.1,10.73,4.56,0.32,5.81,8.37,,,,,,,,
December,,,9.8,1.42,6.77,2.87,12.76,3.72,5.05,2.27,4.96,5.56,,,,,,,,
Total,,,73.16,50.36,54.37,55.78,60.53,66.51,50.71,56.22,47.06,53.68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1872 Observations made at Kilworthy Hill,,,,,,,,,,,,,,,,,,,,
Given elevation same for Kilworthy Hill and Lane,,,,,,,,,,,,,,,,,,,,
"The southern part of Kilworthy Lane became Kilworthy Hill when the railway cut across it, so assume it was an old name being revived",,,,,,,,,,,,,,,,,,,,
To match elevation gauge was likely where the station now is,,,,,,,,,,,,,,,,,,,,
