DERBY-SPONDON-THE-OLD-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK400360,Long,-1.4065273,Lat,52.919935,Elevation,262,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,3.82,2.39,1.98,3.25,0.86,3.84,2.23,1.46,0.3,0.51,2.52,2.31,,2.04,,,,
February,,,2.4,0.88,1.62,1.47,2.95,1.75,1.36,2.72,2.05,4.76,2.26,2.73,,2.24,,,,
March,,,1.89,2.09,1.31,0.72,3.57,2.28,0.73,0.94,2.02,2.57,1.85,1.23,,1.02,,,,
April,,,2.45,0.59,1.22,0.79,2.64,2.23,1.2,2.67,1.41,1.43,3.09,2.26,,1.9,,,,
May,,,2.11,2.4,1.08,2.01,0.75,2.45,5.88,2.93,1.87,1.34,2.15,1.29,,2,,,,
June,,,4.35,2.1,0.51,2.87,2.27,1.2,3.37,5.25,4.65,2.04,3.98,3.77,,2.92,,,,
July,,,3.62,2.17,1.14,6.29,1.75,2.49,0.88,2.99,5.91,1.25,3.26,2.16,,0.31,,,,
August,,,3.29,3.12,2.23,3.31,1.25,4.43,6.75,5.46,2.72,5.16,1.5,1.5,,2.18,,,,
September,,,2.95,1.53,2.67,3.97,4.94,1.78,2.24,3.11,3.66,1.76,2.22,5.13,,3.01,,,,
October,,,4.45,2.24,1.79,5.1,1.8,1.95,2.43,1.16,5.31,3.7,5.61,2.49,,5.95,,,,
November,,,2.81,2.24,2.67,3.78,3.36,2.51,2.96,1.5,2.1,2.92,3.63,3.64,,2.62,,,,
December,,,3.36,0.3,2.01,1.21,5.15,2.14,2.29,1.39,3.91,2.16,5.26,1.14,,0.78,,,,
Total,,,37.5,22.05,20.23,34.77,31.29,29.05,32.32,31.58,35.91,29.6,37.33,29.65,,26.97,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is The Old Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,
