DERBY-SPONDON-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK398357,Long,-1.4095384,Lat,52.917253,Elevation,230,ft.,,,,,,,,,,,,,
Station no,2657,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.76,1.51,5.19,1.41,4.13,1.66,2.22,1.97,2.85,,,,,,
February,,,,,,,2.56,1.79,2.78,0.52,0.79,2.98,0.5,2.96,0.62,,,,,,
March,,,,,,,0.85,1.61,1.98,0.3,3.74,0.63,1.61,2.87,1.91,,,,,,
April,,,,,,1.97,1.72,2.05,1.06,1.12,3.19,3.27,2.73,1.79,2.4,,1.54,,,,
May,,,,,,5.96,2.89,1.24,1.42,2.26,2.65,2.87,6.72,1.8,1.04,,0.46,,,,
June,,,,,,0.01,1.8,4.1,3.11,1.54,1.49,3.12,1.17,2.27,0.6,,3.53,,,,
July,,,,,,1.88,2,3.18,1.41,1.57,5.81,4.35,4.9,2.09,1.04,,4.44,,,,
August,,,,,,3.02,1.97,3.35,3.07,2.49,2.44,4.89,2.25,0.61,,,0.78,,,,
September,,,,,,3.03,0.88,4.2,1.12,0.59,4.64,2.15,2.12,2.13,,,2.63,,,,
October,,,,,,3.1,2.32,2.16,4.89,3.7,3.04,0.64,3.19,4.78,,,1.51,,,,
November,,,,,,2.14,3.27,3,4.12,5.51,3.02,3.25,1.85,1.21,,,2.2,,,,
December,,,,,,2.12,0.79,2.53,2.31,4.62,1.93,1,0.73,0.41,,,1.6,,,,
Total,,,,,,,23.81,30.72,32.46,25.63,36.87,30.81,29.99,24.89,,,,,,,
