OTTERBURN NORTHUMBERLAND,,,,,,,,,,,,,,,,,,,,
Grid ref,NY886931,Long,-2.1807864,Lat,55.231978,Elevation,500,ft,,,,,,,,,,,,
Station no,RR8958,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.03,4.14,5.08,4.15,4.12,2.9,,,3.56,,2.9,1.74,5.1,,
February,,,,,,2.66,4.27,2.12,3.53,3.32,3.07,,,1.74,,1.62,3.6,3.27,,
March,,,,,,1.63,2.85,3.34,2.53,1.65,1.09,,,1.75,,1.68,3.5,4.3,,
April,,,,,,0.66,2.79,3.23,3.22,1.52,1.12,,,0.6,,1.23,3.4,3.6,,
May,,,,,,4,1.11,2.35,1.63,2.6,1.82,,,2.12,,1.2,1.45,3.25,,
June,,,,,,0.42,1.48,1.17,0.93,2.04,1.8,,,0.68,,1.95,2.55,2.04,,
July,,,,,,4.53,3.21,5.58,0.73,1.23,0.78,,,4.27,,2.23,0.95,2.77,,
August,,,,,,4.57,3.68,1.77,1.99,1.08,2.2,,,0.91,,2.55,2.55,6.68,,
September,,,,,,0.51,4.58,1.87,4.08,4.6,1.25,,,2.7,,2.7,3.55,3.62,,
October,,,,,,7.77,1.25,1.52,2.38,1.19,4.55,,,2.48,,4.88,2.3,4.4,,
November,,,,,,3.19,3.02,0.44,2.37,2.39,1.67,,,2.22,,2.88,3.55,1.38,,
December,,,,,,2.3,3.65,3.13,5.1,4.14,4.2,,,1.07,,2.2,9.9,1.95,,
Total,,,,,,34.27,36.03,31.6,32.64,29.88,26.45,,,24.1,,28.02,39.04,42.36,,
