ROMANSLEIGH-RECTORY-(WEST-BUCKLAND-RECTORY),,,,,,,,
Grid ref,SS658308,Long,-3.91611,Lat,51.06087,Elevation,600,ft
Station no,RR8749,,,,,,,
,,,,,,,,
,1889,1890,,,,,,
January,2.19,4.68,,,,,,
February,5.81,1.25,,,,,,
March,4.61,2.41,,,,,,
April,2.43,,,,,,,
May,3.77,,,,,,,
June,0.39,,,,,,,
July,3.4,,,,,,,
August,3.7,,,,,,,
September,1.92,,,,,,,
October,6.22,,,,,,,
November,2.43,,,,,,,
December,3.73,,,,,,,
Total,40.6,,,,,,,
,,,,,,,,
West Buckland Rectory,,,,,,,,
1889 Observer moved 0.75 miles from Devon County School,,,,,,,,
1890 March Gauge moved 13.25 miles SE to Bradford Cottage Witheridge,,,,,,,,
