ROMANSLEIGH-RECTORY-(WITHERIDGE-BRADFORD-COTTAGE),,,,,,,,
Grid ref,SS820167,Long,-3.68066,Lat,50.93798,Elevation,600,ft
Station no,RR8750,,,,,,,
,,,,,,,,
,1890,1891,1892,1893,1894,1895,,
January,,3.26,2.72,3.37,3.36,4.97,,
February,,0.12,3.43,5.54,3.34,0.15,,
March,,2.55,1,0.56,3.51,4.18,,
April,3.61,1.79,1.91,0.33,2.51,1.74,,
May,3.51,3.27,1.28,2.15,3.35,0.4,,
June,4.44,1.06,1.61,0.79,2.5,2.09,,
July,4.62,3.81,2.85,9.12,4.79,4.21,,
August,4.28,7.22,4.2,1.72,3.76,3.92,,
September,1.28,2.81,3.01,2.74,2.27,,,
October,3.37,6.63,5.51,4.59,6.33,,,
November,4.76,3.65,2.89,3.17,6.08,,,
December,2.13,5.42,2.84,4.83,3.51,,,
Total,,41.59,33.25,38.91,45.31,,,
,,,,,,,,
Witheridge Bradford Cottage,,,,,,,,
1890 March Gauge moved 13.25 miles from West Buckland Rectory,,,,,,,,
1895 Sept Gauge moved 6.25 miles NW to Romansleigh Rectory,,,,,,,,
