ROMANSLEIGH-RECTORY,,,,,,,,,,,,,,,
Grid ref,SS727205,Long,-3.81435,Lat,50.97026,Elevation,590,ft,,,,,,,
Station no,RR8751,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,1.2,3.05,1.32,5.85,5.76,3.85,2.28,4.6,4.37,1.66,6.51,1.68,,
February,,1.15,6.33,3.16,3.31,5.24,1.25,1.67,2.29,5.13,1.63,4.18,1.74,,
March,,5.64,3.9,1.44,0.92,1.5,2.3,3.13,5.07,1.96,4.47,2.09,1.12,,
April,,1.14,4.69,1.91,3.58,2.46,3.57,1.34,2.59,1.58,2.6,1.29,4.9,,
May,,0.1,1.92,3.95,3.27,1.52,1.09,3.02,2.59,3.2,0.2,2.79,2.89,,
June,,1.6,2.37,2.25,1.91,3.13,3.29,3.7,1.92,1.35,3.29,1.05,2.99,,
July,,1.43,1.85,0.41,0.83,1.27,0.68,2.99,3.4,6.7,1.77,1.11,1.71,,
August,,3.15,6.48,4.18,2.3,3.73,2.57,4.04,4.55,2.8,4.94,3.56,,,
September,1.47,6.67,5.36,1.75,3.85,1.38,2.67,2.37,4.6,2.66,1.23,0.9,,,
October,5.71,3.87,1.59,5.7,3.39,5.04,2.59,2.97,9.65,2.13,2.78,4.87,,,
November,5.86,1.34,2.55,5.09,3.35,5.41,1.1,5.57,3.18,3.15,5.05,3.61,,,
December,4.8,5.87,5.13,5.37,4.67,6.23,6.62,3.56,5.05,3.17,1.57,3.5,,,
Total,,33.16,45.22,36.53,37.23,42.67,31.58,36.64,49.49,38.2,31.19,35.46,,,
,,,,,,,,,,,,,,,
Romansleigh Rectory,,,,,,,,,,,,,,,
1895 Sept Gauge moved 6.25 miles from Bradford Cottage,,,,,,,,,,,,,,,
1907 Aug 5 Removed 7 miles to Warkleigh Rectory,,,,,,,,,,,,,,,
