HEXHAM (PLOVER HILL TOP),,,,,,,,,,,,
Grid ref,NY933620,Long,-2.106143,Lat,54.952600,,,,,,,
Station no,3564/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.12,2.90,2.71,1.55,,,,,
February,,,,1.24,2.50,1.95,1.56,,,,,
March,,,,0.70,1.23,1.02,1.36,,,,,
April,,,,0.52,0.43,0.95,0.45,,,,,
May,,,,3.53,1.72,0.70,1.45,,,,,
June,,,,1.59,1.92,3.97,1.03,,,,,
July,,,,1.91,1.50,2.68,3.81,,,,,
August,,,,3.93,0.95,6.86,3.49,,,,,
September,,,,3.21,1.28,2.56,3.29,,,,,
October,,,,4.22,1.61,1.22,2.39,,,,,
November,,,1.49,2.54,0.91,0.71,1.53,,,,,
December,,,0.96,2.52,3.29,1.76,2.02,,,,,
Total,,,,28.03,20.24,27.09,23.93,,,,,
Calc annual,0.00,0.00,2.45,28.03,20.24,27.09,23.93,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
