BLACKBURN AUDLEY PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD692278,Long,-2.4684981,Lat,53.745658,Elevation,450,ft,,,,,,,,,,,,
Station no,RR3170,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.56,4.19,3.48,3.85,4.08,1.73,6.03,6.12,,,,,,
February,,,,,,,5.02,4.91,3.85,7.15,2.3,4.71,3.17,1.43,,,,,,
March,,,,,,,3.18,2.28,5.25,1.69,3.47,2.71,6.12,3.22,,,,,,
April,,,,,,,0.98,5.33,2.49,2.64,2.49,2.91,3.49,0.57,,,,,,
May,,,,,,,1.79,2.54,1.82,3.89,2.11,2.02,3.94,3.42,,,,,,
June,,,,,,,4.56,1.2,1.29,2.19,3.03,3.31,5.68,2.28,,,,,,
July,,,,,,,5.58,4.91,0.64,0.92,2.4,6.5,4.5,4.68,,,,,,
August,,,,,,,5.41,2.15,4.89,4.04,2.93,1.58,5.96,6.23,,,,,,
September,,,,,,,9.69,4.25,2.19,8.54,3.9,3.64,7.08,3.02,,,,,,
October,,,,,,,2.99,5.92,7.64,4.3,14.5,7,6.31,7.18,,,,,,
November,,,,,,,7.75,1.91,4.26,5.61,4.51,1.89,5.72,4.14,,,,,,
December,,,,,,,6.06,6.07,9.68,5.17,4.08,3.73,5.02,1.81,,,,,,
Total,,,,,,,58.57,45.66,47.48,49.99,49.8,41.73,63.02,44.1,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer J Shackleton,,,,,,,,,,,,,,,,,,,,
"A Richard Shackleton (corn miller and landowner) and family lived at Audley Place, Audley Lane in the 1871 census but no family member was 'J'.",,,,,,,,,,,,,,,,,,,,
NGR taken from Audley Lane at the right elevation.,,,,,,,,,,,,,,,,,,,,
Audley Lane was about 450m long at the time.,,,,,,,,,,,,,,,,,,,,
