WATERSIDE KELLS KIRKCUDBRIGHT,,,,,,,,,,,,,,,,,,,,
Grid ref,NX612810,Long,-4.177097,Lat,55.103925,Elevation,215,ft,,,,,,,,,,,,
Station no,RR3092,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,6.4,12.32,5.73,7.72,,,,,,,11.48,5.08,,,
February,,,,,,5.45,4.51,4.61,8.03,,,,,,,2.21,7.12,,,
March,,,,,,2.77,3.98,2.98,8.01,,,,,,,2.64,5.84,,,
April,,,,,,0.57,2.17,6.39,3.98,,,,,,,1.54,2.67,,,
May,,,,,,5.35,1.53,2.29,3.25,,,,,,,3.55,0.8,,,
June,,,,,,1.06,2.69,1.98,0.69,,,,,,,3.51,6.71,,,
July,,,,,,3.63,2.9,4.67,0.52,,,,,,,2.29,2.22,,,
August,,,,,,5.09,5.56,4.29,6.08,,,,,,,2.78,4.83,,,
September,,,,,,1.14,8.04,4.57,2.92,,,,,,,7.99,3.61,,,
October,,,,,,5.46,4.01,6.28,7.23,,,,,,,5.78,7.86,,,
November,,,,,,5.46,6.55,0.76,7.69,,,,,,,7.41,4.28,,,
December,,,,,,7.23,8.29,5.02,13.25,,,,,,,5.51,6.64,,,
Total,,,,,,49.61,62.55,49.57,69.37,59,,,,,,56.69,57.66,,,
