HOCKLEY HEATH PACKWOOD,,,,,,,,,,
Grid ref,SP174722,Long,-1.7459901,Lat,52.347599,Elevation,400,ft,,
Station no,RR7817,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.62,0.97,4.01,3.97,0.87,2.91,1.33,1.75,2.38,
February,2.4,1.72,1.71,1.05,1.63,3.31,4.35,1.05,1.7,
March,0.61,2.07,4.01,4.17,2.86,1.09,3.47,2,1.37,
April,2.29,1.06,0.18,3.57,1.59,0.88,1.01,1.15,2.9,
May,1.6,0.61,3.72,2.44,1.82,2.47,2.76,2.41,2.01,
June,3.03,1.31,5.13,1.03,2.3,1.43,1.7,1.79,0.82,
July,2.07,0.25,4.53,1.36,2.68,6.3,3.49,1.75,5.74,
August,3.99,2.32,7.12,0.87,1.97,2.18,3.27,5.16,1.31,
September,0.85,1.55,0.88,2.42,1,0.82,1.25,1.9,5,
October,2.7,2.19,2.76,3.09,1.98,2.48,3.34,3.12,1.46,
November,3.98,2.47,1.55,3.25,3.03,2.83,3.29,0.92,1.54,
December,4.56,5.13,4.22,1.15,5.87,5.24,2.5,1.26,2.67,
Total,30.7,21.65,39.82,28.37,27.6,31.94,31.76,24.26,28.9,
