LEICESTER-BELMONT-VILLAS,,,,,,,,,,,,,,,,,,,,
Grid ref,SK593038,Long,-1.1253292,Lat,52.628727,Elevation,240,ft,,,,,,,,,,,,
Station no,RR6624,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.86,0.97,4.12,2.19,2.17,2.97,1.87,3.21,1.66,1.26,0.36,0.72,2.06,,,,,,,
February,1.84,1.67,2.15,1.67,1.89,1.09,2.78,2.17,1.32,2.09,2.4,3.69,2.3,,,,,,,
March,1.49,1.12,2.08,2.5,1.07,0.64,2.81,1.84,0.71,0.7,1.47,1.62,1.15,,,,,,,
April,0.57,3.34,3.27,0.56,1.42,1.23,2.83,3.07,1.62,2.18,1.62,1.32,2.98,,,,,,,
May,0.68,1.51,2.36,2.61,1.9,1.8,0.6,2.15,4.74,3.25,1.59,0.96,2.46,,,,,,,
June,0.71,5.58,5.52,5.18,0.56,4.35,1.91,0.83,1.73,4.41,3.66,2.43,4.02,,,,,,,
July,1.06,5.59,6.27,2.77,1.04,6.54,0.69,2.64,2.02,3.69,6.86,1.47,3.25,,,,,,,
August,1.71,0.87,3.71,3.01,2.19,2.57,2.1,2.57,6.72,3.92,1.61,5.16,2.2,,,,,,,
September,1.55,5.87,3.17,2,2.75,2.77,5.6,1.52,1.92,3.29,5.32,2.28,2.5,,,,,,,
October,4.69,1.35,4.6,2.35,2.29,5.78,1.55,1.37,2.51,0.9,5.26,2.77,5.51,,,,,,,
November,1.45,1.14,4.19,2.29,2.42,3.61,2.99,2.7,3.2,1.12,1.6,2.5,3.17,,,,,,,
December,2.78,1.2,4.25,0.44,1.72,1.33,4.88,1.73,1.88,1.03,3.22,2.7,4.23,,,,,,,
Total,20.39,30.21,45.69,27.57,21.42,34.68,30.61,25.8,30.03,27.84,34.97,27.62,35.83,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1883 Gauge moved,,,,,,,,,,,,,,,,,,,,
