"STROKESTOWN - CASTLENODE HOUSE, County Roscommon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IM945789,Long,-8.084,Lat,53.760,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.98,3.38,3.42,1.84,3.20,5.61,2.40,3.59,2.55,1.67,3.70,2.80,4.98,3.19,3.93,3.13,4.50,3.66,6.52,4.57,5.48,2.10,4.98,2.89,4.78,4.01,4.90,1.59,5.27,4.87,4.27,4.50,3.91
February,2.04,1.33,5.71,3.33,4.02,1.60,5.06,4.51,3.48,1.44,4.16,2.10,2.72,0.49,4.82,6.27,1.66,3.68,3.30,3.34,3.13,3.90,0.42,3.09,0.18,2.91,0.20,3.17,2.31,4.26,1.91,3.27,4.48
March,3.55,2.69,2.27,1.62,4.09,4.30,4.09,0.59,1.58,3.50,1.29,2.38,2.78,2.43,1.89,2.29,1.80,0.73,1.58,4.36,3.91,0.43,3.79,3.34,1.62,3.10,3.31,2.03,2.07,1.93,2.52,2.43,4.92
April,2.06,4.30,1.83,2.05,0.76,3.57,2.02,2.12,3.55,2.06,0.86,1.78,3.30,1.11,2.23,2.64,3.39,3.44,1.76,1.79,1.90,0.82,1.86,3.33,3.05,2.22,2.65,2.56,1.75,2.61,0.19,1.49,3.33
May,3.41,2.10,2.38,3.40,1.57,4.30,1.92,0.96,4.44,3.04,1.66,4.05,3.59,1.62,2.00,1.64,4.18,5.53,4.12,1.38,1.82,1.84,2.04,4.21,2.67,2.60,2.28,1.10,1.52,3.39,4.07,1.03,3.10
June,2.74,1.51,4.30,1.80,4.55,2.84,1.26,1.60,2.07,1.91,1.33,2.18,1.41,0.16,2.07,1.41,4.29,0.62,3.22,3.42,7.65,1.48,1.88,6.67,0.99,2.75,1.52,4.84,3.95,1.64,4.20,2.40,1.57
July,2.06,2.91,2.79,2.84,3.81,0.95,2.79,3.50,3.23,3.16,2.65,0.87,3.38,3.83,3.97,1.16,4.03,3.15,2.05,2.65,2.02,4.42,2.74,4.04,4.02,2.88,1.81,0.88,6.07,4.25,5.03,4.56,3.93
August,2.07,1.16,5.28,1.81,4.49,0.93,5.01,4.15,3.96,6.86,2.04,2.13,2.14,2.49,3.24,6.65,4.53,2.32,2.98,6.06,4.72,4.95,5.77,3.87,1.78,1.79,4.86,2.26,1.40,2.77,3.31,1.73,0.78
September,5.41,2.23,1.67,1.72,0.30,4.31,1.43,1.36,2.14,2.37,6.12,3.21,2.42,0.69,3.35,3.98,4.55,3.07,2.66,4.61,3.04,1.06,3.98,1.91,3.70,0.85,6.86,6.87,4.34,4.08,2.47,1.65,2.52
October,1.96,4.88,1.51,4.41,2.90,3.66,1.80,3.81,7.16,4.66,4.15,1.53,3.06,1.64,1.32,4.19,3.22,3.86,2.61,3.67,5.48,4.54,5.56,2.33,3.65,2.25,4.80,4.21,2.21,1.50,6.46,3.12,5.56
November,3.22,1.76,3.04,3.90,2.42,4.11,3.46,2.82,4.51,4.52,3.41,2.23,3.22,4.29,1.27,3.00,3.90,3.10,4.81,2.34,5.32,4.51,4.35,5.69,2.11,1.51,1.52,4.04,3.38,1.02,6.52,7.70,3.70
December,4.08,4.50,2.39,5.71,4.21,3.63,5.82,6.48,3.30,1.77,4.08,6.19,3.61,3.32,4.69,3.02,6.03,3.00,0.94,2.94,3.23,7.33,4.04,2.79,6.11,2.05,5.48,2.29,4.17,2.27,3.36,3.01,4.20
Total,35.58,32.75,36.59,34.43,36.32,39.81,37.06,35.49,41.97,36.96,35.45,31.45,36.61,25.26,34.78,39.38,46.08,36.16,36.55,41.13,47.70,37.38,41.41,44.16,34.66,28.92,40.19,35.84,38.44,34.59,44.31,36.89,42.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_32_pt1/088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_30_pt1/055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_37_pt1/052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_28_pt1/144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1962 according to Met Eireann.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
