COLTISHALL-AIRFIELD,,,,,,,,,,
Grid ref,TG261230,Long,1.349288,Lat,52.757266,Elevation,55,ft,,
Station no,1433/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.16,2.64,,,,,,1.82,,3.41
February,2.69,0.98,,,,,,1.69,,1.71
March,2.83,2.23,,,,,,1.91,,1.01
April,3.2,1.45,,,,,,0.74,,
May,1.84,1.08,,,,,,3.2,,
June,1.41,1,,,,,,2.61,,
July,1.57,1.69,,,,,,3.11,1.42,2.18
August,2.71,1.26,,,,,,2.47,1.85,2.77
September,1.81,3.54,,,,,,,0.05,3.79
October,0.69,,,,,,,,2.43,4.16
November,2.8,,,,,,,,2.29,2.82
December,1.28,,,,,,,,2.54,4.28
Total,25.99,,,,,,,,,
