BOVEY-TRACEY-BRADLEY,,,,,,,,,,
Grid ref,SX829775,Long,-3.65546,Lat,50.58552,Elevation,100,ft,,
Station no,RR8537,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.94,3.08,4.25,7.42,0.57,3.15,0.88,5.78
February,,,4.62,6.55,1.07,0.16,0.64,3.48,1.71,5.81
March,,,1.49,0.15,1.91,2.75,3.78,4.87,2.45,0.75
April,,,0.6,0.37,2.97,2.86,0.26,4.1,1.45,3.05
May,,,1.05,1.74,2.31,0.96,0.03,1.19,2.83,2.94
June,,,1.05,0.78,1.64,1.09,3.27,3.28,1.52,1.32
July,,,2.53,4.1,4.84,2.99,1.44,2.43,0.76,2.31
August,,,4.04,1.12,3.79,2.02,2.43,4.75,1.68,2.48
September,,,1.96,1.54,3.71,0.38,5.41,3.15,1.05,2
October,,,5.27,2.49,5.86,3.95,3.46,1.5,8.92,1.53
November,,,3.21,1.73,6.27,8.99,1.11,1.8,3.98,4.1
December,,,1.47,4.58,1.55,5.75,8.27,5.17,4.51,3.08
Total,,,29.23,28.23,40.17,39.32,30.67,38.87,31.74,35.15
,,,,,,,,,,
1900 BR Calls this Little Bradley,,,,,,,,,,
1900 Observer abroad,,,,,,,,,,
