ASHBURTON-PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX764712,Long,-3.74423,Lat,50.52775,Elevation,400,ft,,,,,,,,,,,,
Station no,1700/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.85,13.54,5.32,4.54,8.2,5.93,11.72,1,,6.93,6.22,1.18,2.21,6.95,5.47,6.89,6.54,10.05,6.54
February,,0.52,3.41,0.92,5.6,5.45,3.58,2.77,3,,7.18,0.78,2.24,4.57,5.61,0.24,8.39,5.44,0.47,6.8
March,,4.64,1.62,0.3,2.23,2.98,13.85,2.59,1.76,,6.03,4.27,0.92,4.9,2.5,1.88,5.7,2.6,5.87,3.66
April,1.33,3.42,2.91,3.56,1.44,2.63,5.67,3.28,3.2,,2.53,5.39,3.18,0.37,1.71,0.9,0.4,0.96,5.99,3.33
May,2.73,8.41,4.02,0.71,3.72,7.78,3.36,3.46,2.86,,2.68,2.7,4.78,3.57,4.98,1.05,2.93,4.05,1.7,2.48
June,2.07,0.68,1.72,3.54,4.62,4.38,3.93,2.9,0.85,,0.86,1.08,2.91,4.27,3.34,2.55,2.35,3.64,1.99,1.9
July,1.08,2.57,3.19,3.74,2.95,1.57,2.66,1.52,2.24,,1.69,1.38,3.67,2.98,2.85,4.29,4.88,4.8,1.24,4.35
August,5.35,4.61,3.76,3.98,2.74,6.19,1.64,4.7,3,,7.04,4.74,2.51,2.98,0.44,4.39,3.13,5.94,3.06,6
September,0.66,3.07,4.46,3.26,3.65,8.12,3.3,2.9,5.43,,6.34,4.32,5.48,5.08,1.3,9.53,4.8,6.39,0.13,7.61
October,2.06,3.87,5.87,7.52,7.41,3.85,1.38,4.23,11.48,,1.09,8.51,4.5,5.51,3.62,2.59,2.97,4.85,4.66,10.4
November,3.54,0.9,3.28,11.38,1.41,12.52,4.01,3.12,6.58,,8.27,5.28,3.29,10.87,6.34,1.68,2.82,3.05,9.16,9.32
December,5.13,8.4,5.27,5.27,9.67,7.08,4.22,10.14,2.42,,5.67,5.03,1.05,4.53,8.67,8.18,4.66,6.55,12.1,6.51
Total,,47.94,53.05,49.5,49.98,70.75,53.53,53.33,43.82,,56.31,49.7,35.71,51.84,48.31,42.75,49.92,54.81,56.42,68.9
,,,,,,,,,,,,,,,,,,,,
1950 Sept Inspection Gauge in good condition Recommended gauge be moved 3ft to centre of garden,,,,,,,,,,,,,,,,,,,,
1950 Record mislaid by observer,,,,,,,,,,,,,,,,,,,,
1956 Apr 22 Inspection Gauge sound Measure flat bottomed Site o/s by trees N NE and SSE Recommended top trees,,,,,,,,,,,,,,,,,,,,
1957 Print with footnote gauge oversheltered,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SRC_ID 8447 ,,,,,,,,,,,,,,,,,,,,
1942-1962,,,,,,,,,,,,,,,,,,,,
