11 ASHBURTON (PLACE),,,,,,,,,,,,
Grid ref,SX764712,Long,-3.745153,Lat,50.527486,,,,,,,
Station no,1700/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.93,6.22,1.18,2.21,6.95,5.47,6.89,6.54,10.05,6.54,,
February,7.18,0.78,2.24,4.57,5.61,0.24,8.39,5.44,0.47,6.80,,
March,6.03,4.27,0.92,4.90,2.50,1.88,5.70,2.60,5.87,3.66,,
April,2.53,5.39,3.18,0.37,1.71,0.90,0.40,0.96,5.99,3.33,,
May,2.68,2.70,4.78,3.57,4.98,1.05,2.93,4.05,1.70,2.48,,
June,0.86,1.08,2.91,4.27,3.34,2.55,2.35,3.64,1.99,1.90,,
July,1.69,1.38,3.67,2.98,2.85,4.29,4.88,4.80,1.24,4.35,,
August,7.04,4.74,2.51,2.98,0.44,4.39,3.13,5.94,3.06,6.00,,
September,6.34,4.32,5.48,5.08,1.30,9.53,4.80,6.39,0.13,7.61,,
October,1.09,8.51,4.50,5.51,3.62,2.59,2.97,4.85,4.66,10.40,,
November,8.27,5.28,3.29,10.87,6.34,1.68,2.82,3.05,9.16,9.32,,
December,5.67,5.03,1.05,4.53,8.67,8.18,4.66,6.55,12.10,6.51,,
Total,56.31,49.70,35.71,51.84,48.31,42.75,49.92,54.81,56.42,68.90,,
Calc annual,56.31,49.70,35.71,51.84,48.31,42.75,49.92,54.81,56.42,68.90,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
