CATCOTT-SHALLARDS,,,,,,,,,,
Grid ref,ST392393,Long,-2.87063,Lat,51.1497,Elevation,140,ft,,
Station no,2006/9/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.25
February,,,,,,,,,,2.48
March,,,,,,,,,,1.68
April,,,,,,,,,,2.14
May,,,,,,,,,,1.17
June,,,,,,,,,,1.87
July,,,,,,,,,,5.08
August,,,,,,,,,,3.45
September,,,,,,,,,,3.7
October,,,,,,,,,,8.06
November,,,,,,,,,,2.99
December,,,,,,,,,,2.89
Total,,,,,,,,,,38.76
,,,,,,,,,,
House not found NGR taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Catcott SRC_ID 9306,,,,,,,,,,
1960-1966,,,,,,,,,,
