WATERFORD BROOK LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS6607309244,Long,-7.033556,Lat,52.231306,Elevation,104,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,7.14,1.92,6.13,2.24,5.29,1.05,2.37,3.78,5.9,5.11,4.26,2.47,4.57,3.61,2.51,5.94,1.87,1.4,4.11,5.98,5.76,1.2,3.44,3.35,5.67,5.26,4.15,1.98,6.04,4.97,2.73,4.86,0.79,2.42,1.97,2.22,1.68,5.32,7.23,2.08,2.29,1.89,2.59,3.87,4.02,4.83,3.36,4.49,1.73,7.74,5.43,8.41,3.08,4.08,2.48,4.97,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.37,6.35,1.29,3.09,4.7,3.62,4.91,4.64,6.83,7.41,5.82,3.72,0.59,0.8,2.41,2.01,0.33,3.22,3.96,2.43,1.15,2.05,2.13,1.31,4.53,5.34,1.93,3.95,2.75,6.39,1.14,3.69,1.87,1.63,0.81,4.14,2.61,4.51,2.37,5.47,5.38,4.64,1.45,3.83,4.01,1.86,2.34,3,7.12,1.49,4.41,2.95,2.18,2.52,8.67,1.76,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.22,3.75,2.6,0.61,1.72,4.26,3.4,1.76,1.67,4.25,3.15,4.22,1.82,3.17,1.33,3.82,1.42,1.12,0.56,1.69,3.33,2.36,5.91,0.42,1.62,0.99,2.78,1.8,5.95,3.61,5.58,1.81,1.09,3.79,4.01,2.05,2.32,4.82,3.51,3.84,1.38,1.66,3.27,2.55,2.96,4.27,3.31,1.31,3.19,1.4,0.54,1.04,4.46,5.69,1.01,5.79,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.52,2.56,5.94,3.43,2.08,3.1,1.66,4.41,2.71,1.71,4.23,2.26,1.07,1.63,1.91,1.3,2.35,0.98,0.62,4.32,2.46,0.46,5.05,4.94,3.13,1.98,2.66,3.47,1.4,1.15,4.01,1.34,3.6,2.92,5.36,2.57,2.56,1.07,4.61,1.44,1.68,2.78,1.58,1.7,1.13,4.48,0.57,2.71,4,2.73,4.07,2.29,1.25,2.74,1.59,1.75,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,2.5,0.67,2.48,4.55,1.72,1.12,1.51,2.9,2.34,1.29,2.85,3.65,0.89,2.42,3.32,3.19,3.79,3.47,1.59,1.98,0.61,0.08,1.14,2.47,3.74,3.41,1.71,1.88,2.29,2.42,1.59,3.7,3.87,2.27,2.1,1.63,1.34,1.25,4.19,1.34,2.81,3.88,3.46,2.65,3.82,3.42,2.27,1.44,1.31,2.82,4.97,2.5,1.87,1.99,3.61,1.99,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.76,1.46,2.84,5.13,6.95,1.52,4.78,3.11,2.4,0.56,1.51,0.55,0.48,4.61,1.15,3.76,2.4,2.01,1.66,2.71,3.85,1.93,2.79,3.04,2.7,4.35,2.95,3.73,5.31,2.52,1.88,1.46,4.36,1.15,2.3,3.88,3.46,5.2,2.19,1.19,2.11,3.39,1.76,1.8,1.82,1.75,0.08,1.17,0.42,3.39,0.42,2.09,3.93,6.34,2.66,2.59,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.05,2.16,1.99,0.55,2.61,4.76,2.4,5.41,4.51,2.19,1.66,4.28,2.4,5.24,2.42,2.4,3.13,3.3,1.63,5.09,4.06,7.06,1.97,1.55,3,3.54,1.22,3.41,3.63,3.83,2.19,1.81,3.04,3.86,3.08,2.15,3.37,5.98,0.18,3.7,4.68,1.16,2.6,3.03,1.51,5.2,4.62,2.94,2.11,3.87,2.4,3.6,4.99,0.93,3.46,3.03,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.58,3.56,6.49,2.52,4.98,1.33,6.52,3.24,4.25,0.62,4.63,3.04,2.68,3.12,4.78,2.18,7.1,4.74,4.4,3.19,4.78,1.17,5.45,4.75,1.85,4.82,4.22,2.45,4.62,4.18,5.54,2.34,3.01,4.64,0.94,7.56,2.56,4.68,2.24,5.23,2.36,1.55,7.95,3.02,4.41,2.69,5.08,4.76,5.17,2.72,4.54,2.47,4.27,4.55,2.52,4.29,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,6.56,6.18,3.14,2.25,5.43,3.26,2.96,3.3,4.75,2.08,5.13,4.44,1.72,0.75,0.85,2.32,3.01,2.89,1.21,1.16,2.08,6.12,3.29,2.69,1.03,1.14,5.28,5.02,3.36,4.4,1.84,1.65,1.38,6.03,2.84,0.74,4.43,0.28,3.32,1.59,1.81,1.68,1.81,7.97,2.14,1.79,1.26,2.53,3.09,8.12,2.64,0.93,3.52,1.49,1.5,3.87,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,9.73,6.03,4.47,3.6,0.8,5.38,3.56,5.72,2.97,1.25,4.43,5.7,1.74,2.43,5.05,1.46,5.47,2.36,2.32,5.67,2.41,2.79,3.54,6.06,2.29,4.16,4.93,2.53,6.56,1.74,0.74,6.1,6.12,2.76,7.28,4.28,4.35,3.57,5.3,2.14,7.15,7.89,2.82,4.01,0.39,7.99,3.41,1.2,3.92,4,4.32,2.71,3.01,7.41,3.41,6.15,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
