WATERFORD BROOK LODGE,,,,,,,,,,,,
Grid ref,IS6607309244,Long,-7.033556,Lat,52.231306,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.26,4.15,1.98,6.04,4.97,2.73,4.86,0.79,2.42,1.97,,
February,5.34,1.93,3.95,2.75,6.39,1.14,3.69,1.87,1.63,0.81,,
March,0.99,2.78,1.80,5.95,3.61,5.58,1.81,1.09,3.79,4.01,,
April,1.98,2.66,3.47,1.40,1.15,4.01,1.34,3.60,2.92,5.36,,
May,3.41,1.71,1.88,2.29,2.42,1.59,3.70,3.87,2.27,2.10,,
June,4.35,2.95,3.73,5.31,2.52,1.88,1.46,4.36,1.15,2.30,,
July,3.54,1.22,3.41,3.63,3.83,2.19,1.81,3.04,3.86,3.08,,
August,4.82,4.22,2.45,4.62,4.18,5.54,2.34,3.01,4.64,0.94,,
September,1.14,5.28,5.02,3.36,4.40,1.84,1.65,1.38,6.03,2.84,,
October,4.16,4.93,2.53,6.56,1.74,0.74,6.10,6.12,2.76,7.28,,
November,7.43,2.24,7.31,2.10,2.15,4.38,2.17,5.38,2.46,0.88,,
December,5.37,4.64,2.72,5.87,3.76,1.86,2.28,5.38,6.27,5.10,,
Total,47.79,38.71,40.25,49.88,41.12,33.48,33.21,39.89,40.20,36.67,,
Calc annual,47.79,38.71,40.25,49.88,41.12,33.48,33.21,39.89,40.20,36.67,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
