"NORTON (SHEFFIELD) CHANTREY GRANGE",,,,,,,,,,,,
Grid ref,SK360823,Long,-1.460835,Lat,53.336388,,,,,,,
Station no,RR4003,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.23,1.51,3.51,3.54,1.59,3.82,1.44,1.73,2.11,,
February,,1.57,2.32,2.12,5.54,1.33,3.15,2.64,2.05,0.81,,
March,,2.25,1.85,3.92,2.52,3.24,2.41,2.45,3.42,4.75,,
April,,1.71,3.22,1.96,1.98,2.98,0.55,2.06,2.75,1.65,,
May,,1.14,3.85,4.26,2.67,0.69,2.13,3.87,2.89,1.62,,
June,,1.27,2.08,1.80,0.41,3.57,1.64,4.01,1.63,3.54,,
July,,4.28,2.35,2.69,2.60,2.06,1.41,2.59,2.39,3.42,,
August,,0.92,4.65,5.72,4.30,4.67,2.20,2.52,3.00,1.59,,
September,,0.86,1.86,3.96,1.66,1.42,0.88,0.51,1.87,2.60,,
October,,2.07,3.73,6.54,0.87,1.78,6.68,6.14,1.41,3.13,,
November,,4.60,2.87,1.97,2.65,4.26,3.61,3.15,2.09,0.68,,
December,,6.80,2.31,2.09,1.74,0.83,3.06,2.13,2.40,5.81,,
Total,,29.70,32.60,40.54,30.48,28.42,31.54,33.51,27.63,31.71,,
Calc annual,0.00,29.70,32.60,40.54,30.48,28.42,31.54,33.51,27.63,31.71,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
