PARSONS-GREEN-CHIPSTEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ264548,Long,-0.1891582,Lat,51.278331,Elevation,506,ft.,,,,,,,,,,,,
Station no,RR8450,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.84,0.53,1.67,2.04,3.31,3.16,2.68,4.76,2.68,,
February,,,,,,,,,,4.27,3.2,3.49,2.75,4.65,2.24,3.92,0.6,0.81,,
March,,,,,,,,,,0.94,0.81,2.41,1.06,1.45,2.31,1.92,1.74,2.2,,
April,,,,,,,,,,3.2,1.91,0.79,3.21,1.43,1.71,1.67,1.71,1.97,,
May,,,,,,,,,,4.41,0.51,1.13,1.36,2.14,0.93,3.36,4.99,2.04,,
June,,,,,,,,,,5.15,3.16,2.23,3.99,1.89,1.61,1.74,1.32,0.83,,
July,,,,,,,,,,4.54,4.32,3.09,3.16,2.52,1.97,0.44,3.54,0.91,,
August,,,,,,,,,,5.72,0.78,5.7,1.84,1.07,2.09,1.18,1.53,2.82,,
September,,,,,,,,,1.49,3.86,5.58,2.95,2.94,4.27,2.85,5.84,3.02,2.85,,
October,,,,,,,,,2.81,1.15,7.38,2.81,6.94,2.81,1.54,3.87,3.82,1.88,,
November,,,,,,,,,4.21,1.99,3.14,4.73,3.48,4.77,1.69,3.45,3.97,4.38,,
December,,,,,,,,,1.9,0.82,3.71,3.66,3.41,0.84,3.06,1.64,5.23,2.21,,
Total,,,,,,,,,,38.89,35.03,34.66,36.18,31.15,25.16,31.71,36.23,25.58,,
,,,,,,,,,,,,,,,,,,,,
NGR is an area called Parsons Green in the Parish? of Chipstead.,,,,,,,,,,,,,,,,,,,,
Stated altitude is 25 ft too high and gauge could be 200m E or W to match altitude.,,,,,,,,,,,,,,,,,,,,
