HIGHAM (HIGHAM CAIFFE),,,,,,,,,,,,
Grid ref,SK390587,Long,-1.418664,Lat,53.124051,,,,,,,
Station no,2668/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.37,1.76,0.58,1.40,2.45,3.93,1.70,3.26,2.72,4.60,,
February,3.09,0.43,1.80,2.31,1.80,1.55,2.60,4.10,0.10,2.64,,
March,3.14,2.09,1.15,1.98,2.51,0.56,2.15,1.86,1.57,1.61,,
April,1.50,2.28,2.60,0.75,0.92,1.84,0.10,0.21,2.55,1.10,,
May,2.74,2.64,1.80,3.52,2.24,0.70,0.70,2.48,0.65,1.37,,
June,1.43,2.45,2.38,3.57,3.53,3.73,1.36,4.06,0.77,1.21,,
July,0.63,1.11,2.11,1.75,0.60,2.86,3.34,4.35,1.55,3.03,,
August,5.13,1.79,1.98,3.97,0.26,5.94,4.41,1.85,0.85,4.43,,
September,2.08,1.75,1.25,3.50,0.60,2.81,5.50,2.75,0.01,4.23,,
October,0.97,3.72,2.05,3.45,1.70,1.40,1.83,2.35,1.71,5.33,,
November,6.21,1.56,1.85,5.05,3.33,0.60,2.24,0.75,3.00,4.10,,
December,1.74,1.99,1.06,2.61,2.60,3.49,1.71,3.20,3.56,2.84,,
Total,31.03,23.57,20.61,33.86,22.54,29.41,27.64,31.22,19.04,36.49,,
Calc annual,31.03,23.57,20.61,33.86,22.54,29.41,27.64,31.22,19.04,36.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
