CROSSMOLINA ENNISCOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IG1436714252,Long,-9.308985,Lat,54.070418,Elevation,74,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,5.18,6.63,4.91,9.89,6.89,4.46,3.46,2.07,3.76,7.71,7.85,5.23,4.98,5.11,3.31,4.36,8.86,3.56,5.8,3.36,8.94,3.87,2.74,2.7,3.53,5.88,6.43,5.31,4.99,6.79,6.53,4.7,7.08,3.3,7.13,5.12,7.64,2.46,4.1,8.11,3.25,6.78,5.65,4.33,6.1,6.8,7.93,7.53,6.06,6.5,,,,,,,
February,,,,,2.96,1.33,7.02,5.11,2.79,4.74,5.69,4.74,3.43,6.46,4.72,5.61,3.15,5.36,1.67,4.83,0.53,0.25,2.46,7.47,8.63,0.63,2.08,4.65,6.74,5.26,3.75,1.84,2.79,6.36,7.53,3.63,4.84,3.93,3.85,3.17,8.19,4.19,3.95,3.93,9,6.62,7.1,1.92,7.1,2.14,5.92,2.57,7.27,8.65,,,,,,,
March,,,,,4.84,2.03,7.15,4.11,2.69,3.51,3.9,4.63,5.33,2.37,5.89,4.4,4.49,1.88,5.42,2.5,3.82,3.26,1.94,1.68,4.08,5.04,6.9,8.03,2.6,4.12,2.03,4.17,5.92,9.55,3.75,6.52,3.53,4.84,6.74,3.82,3.69,3.27,5.99,7.37,6.81,1.64,3.38,4.69,1.56,5.39,5.77,6.62,3.49,4.23,,,,,,,
April,,,,,5.26,3.05,3.84,1.81,2.99,2.47,4.99,1.31,2.89,2.06,1.28,3.12,2.56,2.78,2.48,3.03,2.31,2.05,2.65,2.14,3.84,2.09,2.08,4.9,4.7,5.5,3.84,5.4,2.76,2.43,5.33,2.44,3.48,3.39,2.62,4.95,2.44,3.71,1.74,4.82,2.88,3.76,5.4,3.8,1.47,3.68,4.11,2.48,4.47,4.47,,,,,,,
May,,,,,2.97,3.41,0.72,1.71,4.76,2.78,2.15,2.31,3.24,3.09,3.14,3.65,5.11,2.17,3.42,4.97,2.27,3.48,5.3,1.35,4.46,2.17,0.93,2.7,3.56,3.1,5.36,2.67,4.02,2.49,3.82,1.56,4.32,5.07,3.45,2.21,3.13,2.26,3.13,5.29,2.64,1.96,4.63,3.1,2.58,3.5,5.4,2.58,2.8,3.38,,,,,,,
June,,,,,2.29,3.64,3.32,2.23,6.05,6.79,3.24,4.97,4.31,1.46,1.02,0.54,1.37,0.59,5.14,1.67,3.76,2.76,2.02,2.12,3.04,1.39,4.68,3.96,3.48,3.74,6.55,3.64,3.12,0.94,3.02,2.15,2.44,5.6,4.19,1.94,5.2,3.37,4.31,3.55,0.87,2.17,2.76,3.59,1.74,4.95,4.73,0.64,2.33,2.04,,,,,,,
July,,,,,3.89,3.1,1.96,3.33,1.2,5.67,3.89,1.86,6.58,5.28,4.44,3.81,4.52,3.83,4.82,1.78,3.38,2.33,3.67,3.24,7.51,6,4.52,3.73,1.26,1.29,2.68,1.41,2.08,5.12,5.6,2.1,3.75,2.43,2.27,3.78,3.69,4.48,,1.5,4.32,4.96,1.82,2.41,4.81,1.46,4.31,3.48,5.54,4.5,,,,,,,
August,,,,,4.6,3.37,4.08,4.32,5.99,6.81,2.9,5.41,6.4,3.02,2.85,3.04,2.78,4.74,5.08,7.02,4.36,6.54,6.46,5.39,3.13,6.23,4.05,7.3,4.89,2.3,5.92,3.21,2.33,7.68,6.98,4.41,4.53,3.77,3.97,2.49,6.38,2.97,,1.43,3.19,3.01,4.7,7.57,4.66,4.66,2.86,4.65,5,8.07,,,,,,,
September,,,,,7.39,4.72,4.63,2.04,4.92,4.59,3.49,3.44,3.44,4.9,6.17,7.27,6.66,5.69,1.45,2.19,3.03,5.46,6.03,3.84,0.77,1.88,6.36,3.02,2.95,4.66,2.81,8.85,2.47,5.74,3.81,2.92,1.56,1.81,7.3,3.65,0.8,2.76,0.62,5.37,3.63,3.72,2.83,3.68,7.83,4.45,5.92,1.49,5.32,8.15,,,,,,,
October,,,,,6.37,4.96,4.58,7.91,6.18,2.93,1.9,3.47,4.12,5.99,5.01,6.05,5.66,4.36,5.06,7.23,3.39,9.44,4.29,3.79,6.03,6.79,9.45,3.67,3.92,3.35,8.48,5.4,4.02,8.13,2.98,3,6.43,6.6,1.75,8.17,2.29,5.11,3.91,5.4,3.29,5.34,10.65,8.7,7.92,2.46,3.52,7.68,2.59,7.57,,,,,,,
November,,,,3.58,3.75,4.36,5.52,10.33,4.46,2.21,9.07,8.81,8.71,7,5.24,3.7,7.08,5.37,4.64,2.22,9.98,3.8,8.36,3.36,7.12,5.96,2.39,3.94,8.12,6.33,6.64,4.78,6.45,4.59,5.55,8.52,3.46,5.13,4.11,4.05,6.13,8.62,6.07,7.91,6.46,4.62,7.64,6.72,6.48,5.62,7.84,4.46,2.99,6.04,,,,,,,
December,,,,2.77,5.65,6.1,7.19,6.83,5.15,4.35,3.32,7.3,5.61,3.77,6.56,2.9,9.04,5.8,7.2,4.78,1.59,7.21,3.17,8.39,6.72,6.13,7.56,7.78,8.61,7.87,9.3,5.86,5.32,5.47,4.82,5.53,5.69,7.94,6.7,6.29,2.43,8.16,13.29,5.53,8.75,10.25,5.94,3.63,7.67,10.26,5.76,5.97,7.36,4.99,,,,,,,
