MILL-HILL-THE-HOLLIES-GAUGE-B,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ228923,Long,-0.22774458,Lat,51.616141,Elevation,380,ft.,,,,,,,,,,,,
Station no,RR6180,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.94,1.57,0.79,1.75,1.38,3.69,2.65,0.68,3.61,,,,
February,,,,,,,,1.19,1.5,0.49,2.39,1.38,1.81,0.69,2.27,3.08,,,,
March,,,,,,,,1,2.76,3.02,1,1.73,3.46,1.79,4.3,1.11,,,,
April,,,,,,,0.57,3.26,2.46,1.66,1.39,1.86,0.03,2.71,0.7,1.08,,,,
May,,,,,,,1.55,1.97,1.79,1.44,2.19,1.38,1.28,1.64,1.93,1.84,,,,
June,,,,,,,3.06,2.25,1.03,3.54,2.17,2.12,2.13,0.46,1.31,1.24,,,,
July,,,,,,,0.84,3.53,4.07,3.43,1.95,1.57,2.98,2.13,1.67,5.51,,,,
August,,,,,,,0.68,1.82,2.96,1.8,3.16,0.65,5,1,1.24,2.4,,,,
September,,,,,,,1.67,0.8,1.93,2.32,0.53,1.47,2.07,1.22,1,2.04,,,,
October,,,,,,,3.52,3.93,1.76,3.87,2.16,3.05,2.2,2.79,1.39,1.38,,,,
November,,,,,,,4.3,2.29,0.76,0.74,3.83,3.34,1.78,2.29,2.78,3.02,,,,
December,,,,,,,2.22,3.59,2,2.63,3.73,4.57,2.54,0.92,6.88,5.43,,,,
Total,,,,,,,,26.57,24.59,25.73,26.25,24.5,28.97,20.29,26.15,31.74,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is The Hollies. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
 Not sure which is gauge A and B in the 1910s. ,,,,,,,,,,,,,,,,,,,,
The moved to Cleveland at the beginning of 1915.,,,,,,,,,,,,,,,,,,,,
"300m, or less, from MILL-HILL-RIDGEWAY",,,,,,,,,,,,,,,,,,,,
