MILL-HILL-THE-HOLLIES-GAUGE-A,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ228923,Long,-0.22774458,Lat,51.616141,Elevation,380,ft.,,,,,,,,,,,,
Station no,RR6180,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.86,1.78,0.8,1.8,1.4,3.7,2.83,,,,,,
February,,,,,,,,1.12,1.62,0.43,2.59,1.59,1.94,0.86,,,,,,
March,,,,,,,,0.94,2.95,2.94,1.01,1.67,3.36,1.94,,,,,,
April,,,,,,,0.57,3.2,2.49,1.67,1.42,1.84,0.08,2.84,,,,,,
May,,,,,,,1.55,1.94,1.72,1.47,2.21,1.46,1.35,1.68,,,,,,
June,,,,,,,3.09,2.27,1.06,3.49,2.12,2.32,2.44,0.5,,,,,,
July,,,,,,,0.79,3.52,4.28,3.42,1.96,1.55,2.98,2.12,,,,,,
August,,,,,,,0.65,1.79,2.95,1.82,3.1,0.65,5.22,0.94,,,,,,
September,,,,,,,1.68,0.85,1.94,2.32,0.48,1.44,2.16,,,,,,,
October,,,,,,,3.45,3.87,1.78,4.16,2.15,3.24,2.4,,,,,,,
November,,,,,,,4.26,2.27,0.75,0.78,3.75,3.56,1.8,,,,,,,
December,,,,,,,2.49,3.49,2,2.9,3.96,4.79,2.76,,,,,,,
Total,,,,,,,,26.12,25.32,26.2,26.55,25.51,30.19,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is The Hollies. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
Not sure which is gauge A and B in the 1910s. ,,,,,,,,,,,,,,,,,,,,
The gauge appears to have moved to Ridgeway House in Sept 1913.,,,,,,,,,,,,,,,,,,,,
"300m, or less, from MILL-HILL-RIDGEWAY",,,,,,,,,,,,,,,,,,,,
