MILL-HILL-THE-VINERIES,,,,,,,,,,,
Grid ref,TQ228922,Long,-0.22777959,Lat,51.615242,Elevation,350,ft.,,,
Station no,871,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,2.53,3.09,,,,,,,,
February,0.53,0.23,2.57,,,,,,,,
March,1.24,1.4,,,,,,,,,
April,3.07,1.19,,,,,,,,,
May,0.93,1.18,,,,,,,,,
June,2.13,0.24,,,,,,,,,
July,5.12,0.16,,,,,,,,,
August,1.63,2.24,,,,,,,,,
September,2.92,2.35,,,,,,,,,
October,2.35,1.16,,,,,,,,,
November,1.43,2.03,,,,,,,,,
December,2.58,1.22,,,,,,,,,
Total,,15.93,,,,,,,,,
,,,,,,,,,,,
NGR is Vineries Bank. Altitude understated by about 40 ft. ,,,,,,,,,,,
"Distance from Myles Down is stated as 300 yards, more like 150.",,,,,,,,,,,
Gauge moved to Ridgeway House in 1922 but the move is about 900 ft. W vs. the stated 600 ft. NW.,,,,,,,,,,,
