"COATBRIDGE, WOODSIDE HOUSE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS 71945 64066,Long,-4.047126,Lat,55.852735,Elevation,275,ft,,,,,,,,,,,,
Station no,RR8960,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,1.66,4.72,2.51,,2.14,4.59,,,,,,,
February,,,,,,,,3.5,5.94,4.65,,3.73,2.52,,,,,,,
March,,,,,,,,1.11,3.6,0.03,,2.32,1.5,,,,,,,
April,,,,,,,,3.29,2.91,0.81,,3.8,0.68,,,,,,,
May,,,,,,,,2.42,2.54,0.61,,0.9,3.21,,,,,,,
June,,,,,,,,2.09,1.05,2.37,,1.33,5.41,,,,,,,
July,,,,,,,,4.62,0.33,1.21,,5.18,4.3,,,,,,,
August,,,,,,,,2.97,4.42,0.96,,3.83,3.57,,,,,,,
September,,,,,,,,3.65,2.65,5.78,,1.49,4.89,,,,,,,
October,,,,,,,,3.69,4.05,3.77,,2.24,3.16,,,,,,,
November,,,,,,,,1,3.14,3.97,,1.68,4.28,,,,,,,
December,,,,,,,,3.2,3.85,4.76,,2.95,4.01,,,,,,,
Total,,,,,,,,33.2,39.2,31.43,,31.59,42.12,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location based on ,,,,,,,,,,,,,,,,,,,,
Valuation Rolls,,,,,,,,,,,,,,,,,,,,
Within 1 1/2 mile radius of,,,,,,,,,,,,,,,,,,,,
32 Blast Furnaces,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8960,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
