NORTHAM-CHOPE-BARTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SS448286,Long,-4.21457,Lat,51.0361,Elevation,180,ft,,,,,,,,,,,,
Station no,1865/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.13,4.79,5.27,5.6,6.07,3.18,3.4,4.65,6.5,3.05,,,,,,
February,,,,,3.51,2.63,6.17,1.32,1.88,3.82,4.11,0.32,1.69,0.81,,,,,,
March,,,,,1.28,2.32,3.4,0.49,1.84,2.57,3.54,2.37,1.36,0.36,,,,,,
April,,,,,4.45,2.48,3.02,0.15,1.83,3.34,1.03,2.31,1.03,2.02,,,,,,
May,,,,,1.73,0.84,2.15,2.51,0.99,1.26,2.16,5.29,3.88,1.2,,,,,,
June,,,,,3.74,2.8,1.2,2.04,1.59,0.85,1.38,0.45,1.87,2.71,,,,,,
July,,,,,0.59,6.8,2.6,3.22,5.1,4.31,1.57,2.81,2.3,1.91,,,,,,
August,,,,,3.34,0.54,1.2,9.46,3.39,0.28,4.91,3.09,3.36,3.05,,,,,,
September,,,,,4.29,2.46,3.58,1.53,0.85,2.34,0.49,3.69,7.03,3.65,,,,,,
October,,,,,6.11,1.98,2.59,5.76,3.11,3.51,2.4,2.78,4.13,5.3,,,,,,
November,,,,,5.34,4.59,2.12,6.34,7.67,8.09,2.35,1.21,3.22,5.89,,,,,,
December,,,,,4.46,7.35,4.36,3.93,2.83,3.54,3.66,5.43,2.58,3.51,,,,,,
Total,,,,,39.97,39.58,37.66,42.35,37.15,37.09,31,34.4,38.95,33.46,,,,,,
