"STRONTIAN, LAUDALE",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,RR1633,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,11.36,5.18,8.16,12.78,10.58,8.63,12.06,7.61,8.92,10.19,,
February,3.78,3.52,2.57,13.31,7.67,9.67,8.94,9.13,7.48,6.76,,
March,0.89,6.32,9.20,15.27,7.00,10.04,5.23,6.26,9.05,1.53,,
April,4.98,6.28,5.69,2.70,11.21,4.26,4.77,5.22,1.82,6.12,,
May,7.20,2.19,5.72,4.05,5.83,3.34,4.96,5.85,4.54,5.77,,
June,4.55,5.78,1.82,2.75,5.01,2.12,0.52,6.09,3.59,1.99,,
July,4.57,3.83,3.54,5.84,4.61,6.52,7.06,2.78,5.19,7.14,,
August,7.07,6.82,6.77,13.17,7.18,6.14,5.84,10.70,5.17,6.14,,
September,9.54,7.65,7.41,7.33,8.43,8.96,6.31,2.19,9.88,4.02,,
October,10.48,7.90,8.43,16.45,7.48,7.19,8.42,3.97,1.51,14.07,,
November,6.11,6.27,6.81,9.56,6.96,7.71,7.44,8.47,7.12,8.99,,
December,18.04,9.18,11.52,9.01,8.61,6.88,8.68,8.38,9.71,9.00,,
Total,88.57,70.92,77.64,112.22,90.57,81.46,80.23,76.65,73.98,81.72,,
Calc annual,88.57,70.92,77.64,112.22,90.57,81.46,80.23,76.65,73.98,81.72,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
