"STRONTIAN, LAUDALE 5"" gauge",,,,,,,,,,,,,,,,,,
Grid ref,NM 749 598,Long,-5.675228,Lat,56.676036,Elevation,15,ft,,,,,,,,,,
Station no,RR1633,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887
January,,,,,12.98,12.36,11.26,12.85,9.03,1.71,9.37,0.89,10.74,10.8,11.97,7.86,7.72,12
February,,,,0.74,5.12,3.97,7.4,11.02,4.33,3.78,12.37,4.27,8.89,12.25,12.13,12.97,4.23,8.6
March,,,,4.25,11.06,2.99,13.61,4.35,6.54,7.51,3.99,7.58,8.89,5.08,9.07,6.37,5.23,3.2
April,,,,1.51,8.06,3.75,3.35,3.29,3.41,2.25,7.81,1.51,4.77,4.59,3,3.67,6.81,4.72
May,,,,3.86,2.31,6.25,1.62,4.92,3.99,3.24,3.03,3.77,5.4,4.95,5.49,4.43,4.03,2.5
June,,,,4.78,3.77,5.35,8.07,9.08,3.69,4.48,3.56,8.23,6,3.31,2.15,3.55,2.97,3.37
July,,,,8.66,5.94,3.09,7.39,6.54,2.86,8.67,3.86,8.31,9.07,3.69,6.63,3.72,5.81,5.53
August,,,,6.93,7.44,8.52,6.69,4.18,5.26,4.3,1.81,6.32,4.55,7.24,7.11,3.18,5.89,3.8
September,,,,6.52,14.84,4.2,4.14,5.6,9.94,12.92,5.18,3.66,6.42,4.77,7.25,13.98,8.13,4.3
October,,,,11.11,18.58,6,10.5,11.13,10.88,4.2,1.96,4.34,6.61,9.84,11.67,9,6.87,6.44
November,,,,8.25,6.49,6.25,2.58,19.03,4.87,3.46,10.09,14.32,12.65,15.25,12.14,4.82,9.32,6.4
December,,,,10.6,2.56,8.81,6.51,13.11,3.75,6.74,7.85,12.92,8.68,14.8,13.17,10.84,9.8,9.27
Total,,,,,99.15,71.54,83.12,105.1,68.55,63.26,70.88,76.12,92.67,96.57,101.78,84.39,76.81,70.13
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
