PADDINGTON-ST-MARYS-HOSPITAL,,,,,,,,,,
Grid ref,TQ267814,Long,-0.17537146,Lat,51.517321,Elevation,100,ft.,,
Station no,RR6345,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,1.3,0.6,1.53,2.8,0.9,0.3
February,,,,,1,1,1.03,0.1,1.6,0.8
March,,,,,0.4,1.5,1.06,1,0.8,1.2
April,,,,,0.3,0.3,1.86,1.8,,2.5
May,,,,1.6,3.5,1.6,3.44,1.2,2.2,2
June,,,,2.3,1,1.3,1.03,,1,4.8
July,,,,,1.9,5.3,1.4,1.8,2.6,2
August,,,,,3,1.2,3.14,3.2,1.6,2.7
September,,,,,0.6,1,2.49,3.2,,3.5
October,,,,3.9,2.3,5.1,2,4.2,1,1.7
November,,,,1.3,1.2,1.9,1.38,1.6,0.2,0.6
December,,,,0.4,1.5,1.1,1.69,0.5,1.1,0.6
Total,,,,,18,21.9,22.05,,,22.7
,,,,,,,,,,
NGR is St Mary's hospital. Altitude from OS map,,,,,,,,,,
"Note on record says ""monthly values except 1856 from RGR"", do not know what this means",,,,,,,,,,
