BOSCOMBE-DOWN-AIRFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU172393,Long,-1.755458,Lat,51.152702,Elevation,417,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1517/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.17,2.26,2.42,2.51,0.76,4.62,5.65,3.26,4.71,2.3,2.77,3.61,6.24,1.8,1.94,2.49,2.14,5.73,0.77,0.37,2.65,2.75,0.74,1.58,2.66,4.77,1.97,2.92,4.78,3.59
February,2.22,0.08,4.39,0.09,2.77,2.48,5.01,0.61,1.57,2.73,2.36,0.6,1,0.63,1.89,2.11,1.29,0.88,1.41,4.35,5.63,0.51,1.46,2.91,1.24,0.19,3.51,2.53,0.2,2.48
March,0.63,2.14,3,3.15,0.73,2.34,4.13,0.23,1.1,2.48,3.05,1.81,0.51,0.28,0.74,1.04,5.55,0.73,1.13,1.23,3.71,3.01,0.41,2.41,1.29,0.98,1.71,1.38,3.77,1.66
April,2.52,2.87,1.73,1.81,3.89,1.81,2.2,0.04,2.3,1.43,1.93,2.04,0.63,1.41,0.87,2.55,2.09,1.35,1.65,2.88,2.71,2,3.04,0.19,0.52,1.64,0.27,0.63,2.32,1.12
May,2.77,4.32,1.22,0.82,0.86,0.57,2.24,1.79,1.03,0.39,1.63,3.52,2.75,0.24,2.16,3.92,1.57,3.99,2.22,1.88,2.57,4.01,1.65,2.34,3.5,0.45,1.77,1.9,0.85,1
June,2.63,1.6,2.01,1.31,3.63,1.82,1.57,0.63,2.09,0.59,1.73,0.43,0.96,2.1,3.54,3.52,1.44,2.37,0.56,0.78,0.94,1.37,1.79,3.59,2.93,1.54,1.99,2.93,0.67,2.68
July,3.65,2.89,1.94,1.76,1.52,4.71,1.53,2.39,5.69,2.63,1.96,1.52,2.45,3.17,1.15,1.29,1.52,1.1,1.19,4.44,0.65,0.44,2.92,2.21,0.57,1.82,3.65,1.86,1.67,2.72
August,3.41,1.04,0.52,2.63,1.91,0.28,0.91,2.01,1.83,0.24,3.89,3.39,2.08,2.66,1.87,4.17,0.65,3.74,1.4,4.02,4.66,4.38,1.64,2.79,0.28,3.97,2.82,3.29,1.48,3.9
September,1.51,3.65,2.19,2.04,4.22,4.01,2.19,1.36,1.19,1.7,0.78,1.72,2.12,1.87,2.58,6.15,1.27,2.47,2.5,3.66,2.81,2.96,2.68,1.98,1.41,3.07,2.62,3.71,0.12,4.39
October,0.59,4.72,2.29,1.3,4.74,1.6,4.88,3.11,4.17,4.09,1.33,4.61,3.7,4.93,4.24,1.5,0.44,2.1,7.03,1.17,0.84,4.39,3.28,2.21,2.77,1.77,2.39,3.31,2.74,8.41
November,4.35,1.44,0.72,1.69,6.55,2.33,1.33,4.77,5.91,7.67,2.36,1.72,1.54,5.48,0.4,5.55,1.7,1.65,3.49,5.75,8.2,3.47,1.81,5.84,2.42,0.53,2.05,2.64,3.33,3.98
December,0.7,1.17,0.42,8.02,4.36,3.14,2.98,4.13,1.71,1.77,1.67,4.75,2.25,2.52,3.73,2.82,2.69,4.35,1.67,1.72,2.46,2.6,0.79,2.8,3.93,4.16,2.42,3.48,7.49,3.59
Total,27.15,28.18,22.85,27.13,35.94,29.71,34.62,24.33,33.3,28.02,25.46,29.72,26.23,27.09,25.11,37.11,22.35,30.46,25.02,32.25,37.83,31.89,22.21,30.85,23.52,24.89,27.17,30.58,29.42,39.52
