"BOSCOMBE DOWN",,,,,,,,,,,,
Grid ref,SU172393,Long,-1.755458,Lat,51.152702,,,,,,,
Station no,1517/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.65,2.75,0.74,1.58,2.66,4.77,1.97,2.92,4.78,3.59,,
February,5.63,0.51,1.46,2.91,1.24,0.19,3.51,2.53,0.20,2.48,,
March,3.71,3.01,0.41,2.41,1.29,0.98,1.71,1.38,3.77,1.66,,
April,2.71,2.00,3.04,0.19,0.52,1.64,0.27,0.63,2.32,1.12,,
May,2.57,4.01,1.65,2.34,3.50,0.45,1.77,1.90,0.85,1.00,,
June,0.94,1.37,1.79,3.59,2.93,1.54,1.99,2.93,0.67,2.68,,
July,0.65,0.44,2.92,2.21,0.57,1.82,3.65,1.86,1.67,2.72,,
August,4.66,4.38,1.64,2.79,0.28,3.97,2.82,3.29,1.48,3.90,,
September,2.81,2.96,2.68,1.98,1.41,3.07,2.62,3.71,0.12,4.39,,
October,0.84,4.39,3.28,2.21,2.77,1.77,2.39,3.31,2.74,8.41,,
November,8.20,3.47,1.81,5.84,2.42,0.53,2.05,2.64,3.33,3.98,,
December,2.46,2.60,0.79,2.80,3.93,4.16,2.42,3.48,7.49,3.59,,
Total,37.83,31.89,22.21,30.85,23.52,24.89,27.17,30.58,29.42,39.52,,
Calc annual,37.83,31.89,22.21,30.85,23.52,24.89,27.17,30.58,29.42,39.52,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
