GRIZEDALE INTAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD540494,Long,-2.702201,Lat,53.938659,Elevation,644,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.71,6.58,6,2.68,5.5,3.18,2.15,2.75,6,2.55,3.6,1.8,4.15,2.55,3.6,1.2,5,6.54,6,2.12,2.89,4.85,4.3,2.33,6.1,2.6,4.31,2.1,5.48,1.3,4.6,4.64,4.36,5.78,4.15,2.92,3.95,5.15,4.65,7,4.27,4.05,4.18,3.2,5.63,4.8,10.86,2.56,6.15,5.16,4.7,3.25,4.45,2.3,4.55,3,5.15,5.4,1.83,1.95,4.51,7.55,5.72,3.65,4.8,3.5,8.4,2.9,3.1,5,5.2,2.08,5,2.65,5,4.45,4.85,3.44,5.7
February,,,3,3.45,3.35,3.9,1.57,2.75,0.33,3,0.55,0.45,2.45,5.6,6,0.37,2.15,3.6,3.8,3.04,4.35,2.37,2.31,4.63,3.9,1.85,3.55,2.18,2.98,2.5,4.75,4.47,2.04,1.98,3.68,5.25,5.11,1.4,4.7,1.54,2.57,0.35,5.6,5.97,0.82,5.62,5.25,3.01,4.97,1.46,0.35,4.45,0.07,3.86,0.2,5.5,2.65,6.48,1.65,3.8,1.78,6,1.5,2.45,1.67,5.25,4.25,0.7,2.35,2,5.1,4.05,1.2,1.99,3.5,2.1,1,3.5,5.9,1.15,3.65
March,,,4.03,1.27,4.03,4.32,4.23,2.61,3.3,3.15,5.2,1.2,0.92,1.55,3.65,5.3,5.5,6.1,1.92,3.3,0.98,3.75,3.55,4.37,3.43,3,3.68,4.7,3.43,3.49,0.93,2.06,7.3,5.03,5.03,,2.35,2.33,1.95,5.9,4.56,4.1,2.15,1.37,1.81,1.71,1.32,4,3.73,1.45,3.14,0.48,2.88,2.56,2.94,1.23,3.03,1.75,1.22,2.4,3.9,2.81,2.65,0.98,0.85,2.56,1.3,6.2,2.7,2.5,2.1,5.85,3,0.75,2.95,1.85,1.15,3.6,1.9,2.6,1.9
April,,,5.32,2.63,1.18,2.45,2.9,1.62,2.18,2.67,1.5,2.65,2.75,0.55,2.1,2.75,2.25,3.11,3.6,5.17,3.48,2.68,1.84,2.25,3.27,3.28,1.81,1.91,2.8,4.14,2.65,3.04,0.42,5.3,0.95,3.36,3.59,2.1,0.91,2.22,5.7,1.81,2.4,3.22,1.85,2.74,1.52,1.98,1.6,2,2.72,3.13,3.2,2.55,2.92,2.93,0.92,3.3,0.4,2.9,3.25,1.9,1.87,2.3,3.45,2.2,1.7,3.35,1.83,4.2,2.8,2.5,3.75,3.41,1,2.9,2.5,0.5,1.8,3.9,3
May,,,2.86,2.43,2.7,2.2,6.28,2.26,1.5,3.85,2.65,2.28,6.05,2.25,3,1,0.65,2.45,4.62,4.35,2.45,1.2,3.7,3.82,2.95,1.09,5.55,4.06,3.16,2.62,2.24,1.43,2.33,3.1,2.95,2.76,3.79,2.08,2.1,,6.34,3.3,2.06,3.43,5.47,4.8,3.21,1.76,0.93,2.5,1.75,2.84,5.49,2.73,4,1.25,1.58,2.4,4,1.6,1.7,3.3,3.75,4,3.45,3.45,1.85,2.7,1.78,2.25,1.35,2.46,2.6,2.85,3.25,3.75,2.75,2.65,5.99,2.3,3.1
June,,,5.67,4.15,1.05,2.9,2.28,0.57,2.5,1.6,5.4,1.65,3.76,2.2,4.6,2.5,3.9,5.15,3.3,2.69,3.45,2.14,1.23,1.68,1.69,2.06,3.52,8.95,2.55,3.06,2.39,3.7,7.74,2.79,,1.26,3.08,3.2,1.87,1.9,2.97,0.57,3.05,1.22,3.13,0.73,4.1,4.7,8.46,2.01,2.07,7.6,1.63,3.01,2.43,5.87,4.48,2.65,7.4,3.96,0.75,0.55,1.25,3.4,4.75,5.16,3.3,3.25,6,1.35,3.5,1.55,4.65,3.4,5.8,4.1,2.78,2.3,4.51,3.98,1.72
July,,,8,3.7,8.23,2,6.86,3.6,7.02,3.6,4.4,3.95,2.15,4.65,4.35,5.2,5.4,2.15,2.4,3.5,3.27,1.23,5,4.67,4,3.08,2.5,4.64,4.65,7.73,7.45,0.78,5.41,,5.49,4.98,4.32,2.45,4.75,2.03,6.07,1.65,6.75,4.95,4.11,3.44,4.9,5.4,4.55,4.95,4.55,6,5.4,3.22,2.68,1.67,5.01,2.02,5.4,7.05,5.2,2,4.8,5.35,4.65,3.5,6.6,5.2,3.43,5.1,5.3,4,2.25,5.2,8.1,1.42,4.5,5.9,3.9,5.57,7.8
August,,7.78,5.25,3.55,2.73,2.95,2.7,2.52,3.85,6.5,8.5,12.15,8.92,4.78,6.6,5.55,4.6,6,8.08,3.01,7.46,3.85,3.35,7.17,4.33,5.58,3.92,6.71,5.37,3.92,6.75,4.89,6.22,1.92,2.73,6.24,4.5,9.06,4.34,5.1,2.33,7.08,5.88,7.25,7.85,5.96,3.9,8.8,7.42,6.95,8.37,4.57,1.91,2.75,6.7,3.02,4.1,2.7,4.05,1.9,2.5,5.65,5.35,8.2,3.1,1.87,7.45,0.25,3.6,4,8.6,4.52,8.8,5.55,8.5,1.2,14.1,5.08,4,0.37,6.77
September,,2.58,4.57,6.05,4.25,7.55,5.5,5.25,2.6,4.5,4.8,7.2,6.42,6.25,0.9,1.3,6.5,4.8,2.5,7.9,2.34,1.85,1.5,7,1.89,3.57,1.55,1.12,6.2,2.88,0.55,4.2,2.64,3.24,3.55,1.18,3.47,4.74,9.2,3.68,3.95,1.87,6.63,5.19,6.11,5.4,5.5,9.02,2.49,2.98,2.6,3.85,7.3,1.34,4.87,8.1,5.05,3.5,3.3,1.85,5.57,1.75,5.05,6.05,7.85,4.1,7.5,5.35,5.5,1.75,8.15,4.25,3.75,6,7.25,2.92,3.95,8.05,5.65,0.47,4.1
October,,3.08,4.57,5.92,3.65,5.15,7.05,2.9,3.25,5.6,4,4.35,5.32,7.5,4.3,5.75,4.9,2.6,5.35,4.98,7.32,4.95,4.94,9.97,3.35,3.81,7.5,5.1,2.21,6.9,3.25,5.39,4.93,3.09,1.94,2.12,9.4,8.41,4.75,,1.62,2.5,1.1,6.68,5.45,6.2,4.7,4.74,6.87,7,7.6,3.8,8.41,6.46,7.5,8.3,4,2.95,10.4,1.97,4.6,5.6,6.4,4.55,5.94,6.13,0.5,0.6,4.35,6.3,3.97,2.25,4.6,2.24,10.5,2.6,3.75,6.69,4.5,4.2,3.8
