BROWNHILLS-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK044057,Long,-1.9363996,Lat,52.649017,Elevation,492,ft.,,,,,,,,,,,,
Station no,2337/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.27,2.61,3.24,2.81,5.58,3.87,4.22,3.24,4.52,2.73,1.53,2.08,2.52,,,
February,,,,,2.19,2.47,3.84,0.46,1.03,2.66,2.85,1.44,1,2.05,2.09,3.2,2.44,,,
March,,,,,0.78,1.97,2.62,0.53,1.41,2,2.56,1.79,0.92,0.39,1.02,0.74,6.01,,,
April,,,,,3.4,2.11,2.25,0.12,1.84,4,1.63,1.3,1,1.84,1.4,1.34,1.94,,,
May,,,,,0.77,0.79,2.69,1.33,1.01,1.99,3.1,3.82,3.3,0.72,3.65,2.52,2.64,,,
June,,,,,2.85,3.94,1.18,1.67,1.13,0.88,0.98,1.27,1.34,2.04,3.28,2.38,1.52,,,
July,,,,,0.46,5.65,2.65,3.13,4.93,2.81,3.01,2.17,0.96,2.34,1.54,2.11,2.5,,,
August,,,,,2.02,1.7,0.74,3.49,3.81,0.25,4.32,2.35,2.31,1.68,2.72,6.68,0.56,,,
September,,,,,3.52,2.95,3.95,2.55,1.09,0.77,0.63,1.19,2.67,2.97,1.51,3.73,1.77,,,
October,,,,,,1.67,2.38,2.24,3.57,3.26,2.57,2.4,1.65,3.1,3.84,0.6,0.49,,,
November,,,,,5.32,2.72,1.64,2.89,4.17,6.19,3.14,1.27,1.89,3.49,0.36,4.92,2.31,,,
December,,,,,3.44,1.87,2.71,3.41,1.52,2.19,1.66,2.83,1.12,1.51,2.11,2.71,1.93,,,
Total,,,,,,30.45,29.89,24.63,31.09,30.87,30.67,25.07,22.68,24.86,25.05,33.01,26.63,,,
,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2997 BROWNHILLS: COMBE HOUSE Start 1934 end 1967,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationships to the station and church. Altitudes match. Discrepancy in the distances means NGR could be +/- 200m. Gauge moved to Coombe House in 1948 where the UDC offices were based, the observer was named as the Borough Surveyor. The move was about 700m, a note on the record suggests that the move was between 0.25 and 0.5 miles. New gauge installed initially in the old position but given a different station number, i.e. suffix added.",,,,,,,,,,,,,,,,,,,,
