"BROWNHILLS",,,,,,,,,,,,
Grid ref,SK038058,Long,-1.945267,Lat,52.649920,,,,,,,
Station no,2337,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.37,2.46,0.83,1.13,2.43,3.43,1.20,2.32,2.44,5.69,,
February,2.67,0.64,1.35,2.07,2.28,0.92,2.02,3.97,0.36,1.96,,
March,3.97,1.76,0.96,1.84,2.74,1.06,1.97,1.37,1.71,1.95,,
April,2.39,2.09,2.29,0.40,1.19,1.43,0.26,0.68,2.55,1.33,,
May,3.15,3.02,2.42,2.32,3.46,0.76,0.95,2.17,0.60,1.30,,
June,0.86,1.87,2.88,3.60,3.07,2.07,1.32,3.79,0.68,2.73,,
July,0.88,2.25,2.14,4.08,0.79,3.19,3.68,7.12,1.47,3.61,,
August,4.78,2.09,2.04,4.26,0.60,4.43,3.88,3.79,1.78,3.09,,
September,2.47,1.02,2.34,1.84,2.41,2.79,5.25,2.97,0.20,4.44,,
October,0.93,3.89,1.76,4.27,1.55,1.95,1.54,2.56,2.32,5.50,,
November,6.40,1.76,1.59,5.40,2.79,0.90,2.19,1.69,3.73,3.70,,
December,2.00,2.71,1.49,2.86,1.83,3.08,1.47,2.92,3.75,2.90,,
Total,32.87,25.56,22.09,34.07,25.14,26.01,25.73,35.35,21.59,38.20,,
Calc annual,32.87,25.56,22.09,34.07,25.14,26.01,25.73,35.35,21.59,38.20,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
