BROWNHILLS-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK044057,Long,-1.9363996,Lat,52.649017,Elevation,492,ft.,,,,,,,,,,,,,
Station no,2337,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.34,1.78,2.63,2.38,2.61,2.71,4.72,1.32,5.19,1.49,2.34,2.11,2.82,,,,,,
February,,,2.7,4.54,0.87,2.76,2.29,2.13,2.23,0.51,0.71,2.35,0.32,4.37,0.35,,,,,,
March,,,1.95,1.37,1.42,0.98,1.11,2.33,1.93,0.33,3.41,0.11,1.97,3.53,2.63,,,,,,
April,,,2.07,2.31,2.75,2.06,1.91,1.99,1.23,0.68,2.82,4.58,3.51,0.95,2.82,,,,,,
May,,,1.19,2.35,4.65,3.5,4.11,1.42,0.37,1.84,3.51,4.49,7.28,2.01,0.97,,,,,,
June,,,0.81,0.63,2.66,0.29,1.47,4.97,2.71,1.36,4.29,4.01,0.89,3.43,0.66,,,,,,
July,,,5.65,3.05,2.74,3.58,3.67,3.19,1.38,1.64,6.78,4.05,5.14,2.48,1.19,,,,,,
August,,,4.94,2.24,2.87,5.27,2.35,4.24,3.19,2.21,3.49,6,2.51,1.41,1.89,,,,,,
September,,,2.31,3.29,3.39,4.13,1.07,4.55,0.85,0.71,3.69,2.85,2.98,0.77,1.95,,,,,,
October,,,0.42,3.37,3.29,3.53,2.93,1.39,4.83,4.12,3.11,1.06,5.79,5.07,2.11,,,,,,
November,,,0.99,2.05,1.91,2.17,5.33,3.53,3.52,6.51,3.92,4.05,2.22,1.33,3.04,,,,,,
December,,,4.17,3.08,2.84,2.1,0.68,1.98,1.9,4.8,3.14,1.14,0.96,0.5,4.93,,,,,,
Total,,,30.54,30.06,32.02,32.75,29.53,34.43,28.86,26.03,44.06,36.18,35.91,27.96,25.36,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2997 BROWNHILLS: COMBE HOUSE Start 1934 end 1967,,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationships to the station and church. Altitudes match. Discrepancy in the distances means NGR could be +/- 200m. Gauge moved to Coombe House in 1948 where the UDC offices were based, the observer was named as the Borough Surveyor. The move was about 700m, a note on the record suggests that the move was between 0.25 and 0.5 miles. New gauge installed initially in the old position but given a different station number, i.e. suffix added.",,,,,,,,,,,,,,,,,,,,,
