KESWICK CROSTHWAITE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY257242,Long,-3.151813,Lat,54.607477,Elevation,254,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,9.01,6.9,3,7.98,1.75,5.94,6.16,5.3,3.75,3.88,5.75,4.04,5.68,7.42,2.32,6.7,5.24,6.46,9.4,4.6,4.3,,,,,,,
February,,,,10.2,4.22,3.48,4.12,2.65,4.06,4.02,9.83,6.57,3.09,4.01,8.68,8.91,6.46,1.3,7.16,0.51,5.5,0.28,5.42,7.68,,,,,,,
March,,,,11.72,4.02,5.5,3.59,5.51,5.5,4.63,4.61,1.98,6.21,6.97,5.96,2.26,1.99,2.7,1.82,4.68,9.04,11.23,3.68,2,,,,,,,
April,,,,1.57,4.53,4.69,1.32,2.55,1.84,3.05,3.7,4.39,0.76,6.27,2.95,3.05,5.12,2.94,1.14,3.06,3.58,1.44,2.7,3.28,,,,,,,
May,,,,2.7,3.29,2.41,6.19,4.87,3.24,2.15,2.97,4.49,1.98,2.26,2.47,0.96,3.53,3.25,1.74,2.77,6.84,3.24,2.21,4.5,,,,,,,
June,,,,1.51,2.02,2.84,1.66,6.21,2.69,3.21,1.95,5.89,5.35,4.46,1.81,1.93,3.34,3.02,1.75,3.1,2.43,0.37,3.02,1.63,,,,,,,
July,,,,4.49,3.49,1.42,2.8,2.05,3.99,6.53,5.56,1.03,5.95,0.99,4.42,4.65,5.3,1.39,4.59,1.55,5.46,3.83,6.36,3.42,,,,,,,
August,,,,7.05,5.23,4.84,5.18,4.76,7.37,3.61,8.42,3.56,6.22,2.75,4.48,3.1,3.28,9,5.03,4.18,2.4,6.64,4.21,12.02,,,,,,,
September,,,,5.88,2.31,4.33,1.57,0.52,4.96,2.99,0.65,3.83,2.41,2.43,3.77,0.92,2.67,5.19,13.72,4.45,2.68,2.41,3.26,7.3,,,,,,,
October,,,,13.62,2.94,3.98,8.7,8.38,2.79,11.79,3.83,6.09,6.14,4.64,1.49,0.91,12.13,9.87,9.29,2.27,2.84,3.86,2.2,11.65,,,,,,,
November,,,,4.01,3.9,5.92,4.53,4.88,4.51,3.04,4.31,7.72,5.64,6.08,8.62,3.05,8.14,5.56,5.13,3.4,4.46,2.96,2.42,7.63,,,,,,,
December,,,,5.23,6.05,2.93,4.02,8.75,4.62,8.17,8.31,11.61,10.34,6.5,11.36,10.45,4.84,2.49,6.77,8.04,5.39,8.31,8.66,4.97,,,,,,,
Total,,,,76.99,48.9,45.34,51.66,52.88,51.51,59.35,59.44,60.91,57.97,53.11,60.05,45.87,64.22,49.03,64.84,43.25,57.08,53.97,48.74,70.38,,,,,,,
