DUDLEY BOROUGH CEMETRY,,,,,,,,,,,,
Grid ref,SO935896,Long,-2.097189,Lat,52.504258,,,,,,,
Station no,RR6157,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.04,0.99,0.95,0.79,,
February,,,,,,,1.61,1.16,1.04,0.60,,
March,,,,,,,1.01,0.87,2.86,2.60,,
April,,,,,,,1.60,2.00,2.42,1.86,,
May,,,,,,,2.64,3.87,2.67,1.24,,
June,,,,,,,2.73,2.62,2.65,3.73,,
July,,,,,,,0.94,1.88,2.09,3.59,,
August,,,,,,,1.14,2.75,3.25,1.70,,
September,,,,,,,1.31,0.69,1.75,3.11,,
October,,,,,,,5.06,5.85,1.92,3.03,,
November,,,,,,,2.76,2.32,2.19,0.62,,
December,,,,,,,1.46,2.68,1.94,3.79,,
Total,,,,,,,25.30,27.68,25.73,26.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,25.30,27.68,25.73,26.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
