DUDLEY BOROUGH CEMETRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO935896,Long,-2.097189,Lat,52.504258,Elevation,591,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,3.04,0.99,0.95,0.79,1.78,0.59,2.72,3.49,1.16,2.84,0.89,1.61,1.88,3.07,2.96,2.06,3.26,1.99,2.6,1.86,2.59,2.16,3.96,1.02,
February,,,,,,,1.61,1.16,1.04,0.6,3.14,1.21,1.37,0.65,2.04,3.44,3.17,1.01,1.1,2.57,1.29,0.37,2.91,4.6,0.7,3.03,1.89,2.2,1.8,0.48,
March,,,,,,,1.01,0.87,2.86,2.6,0.51,1.64,4.01,4.6,2.25,0.94,2.53,1.75,1.27,4.05,2.33,1.21,2.02,0.87,1.02,0.8,0.45,2.19,2.04,0.12,
April,,,,,,,1.6,2,2.42,1.86,1.9,0.74,0.17,3.44,0.85,1.1,1.28,1.21,2.43,1.85,2.81,0.56,2.98,2.36,2.52,2.53,2.32,1.91,1.04,0.66,
May,,,,,,,2.64,3.87,2.67,1.24,1.7,0.44,3.28,2.03,1.38,2.35,2.58,2.79,2.49,1.04,2.61,0,1.24,1.13,5.41,2.35,3.47,0.83,0.26,1.86,
June,,,,,,,2.73,2.62,2.65,3.73,2.44,1.9,5.45,1.4,3.2,1.19,1.42,2.41,0.83,1.25,2.75,0.06,0.68,0,2.15,0.04,1.25,4.23,2.89,1.76,
July,,,,,,,0.94,1.88,2.09,3.59,2.04,0.22,2.81,1.58,2.91,7.36,2.08,2.22,2.66,3.44,3.72,0.65,5.02,3.56,3.15,2.46,2.79,4.29,1.12,1.52,
August,,,,,,,1.14,2.75,3.25,1.7,4.97,2.08,6.45,1.49,2.49,2.34,2,7.12,2.44,2.48,0.95,3.96,4.51,2.03,3.05,2.63,1.93,4.01,2.38,1.83,
September,,,,,,,1.31,0.69,1.75,3.11,0.68,1.58,0.92,1.76,0.99,0.47,1.09,1.95,6.27,1.77,1.98,0.93,2.65,2.4,4,3.83,0.97,4.62,0.66,0.58,
October,,,,,,,5.06,5.85,1.92,3.03,2.76,2.12,2.52,3.15,1.82,2.12,3.36,3.06,1.08,2.96,2.78,1.79,0.16,3.49,4.14,3.55,2.05,1.41,4.58,3.97,
November,,,,,,,2.76,2.32,2.19,0.62,3.65,2.66,1.98,2.3,3.44,2.17,3.13,1.47,1.93,1.18,0.77,1.51,0.94,1.43,2.05,1.63,4.9,3.66,3.67,6.41,
December,,,,,,,1.46,2.68,1.94,3.79,5.03,4.92,3.14,1.1,6.28,4.67,2.32,1.21,2.91,3.31,2.56,2.2,3.13,2.24,2.81,2.11,0.53,2,2.07,4.85,
Total,,,,,,,25.3,27.68,25.73,26.66,30.6,20.1,34.82,26.99,28.81,30.99,25.85,27.81,27.29,28.97,27.51,15.3,29.5,26.1,33.6,26.82,25.14,33.51,26.47,25.06,
