CRANFIELD AIRFIELD,,,,,,,,,,,,
Grid ref,SP941422,Long,-0.628563,Lat,52.070185,,,,,,,
Station no,1174/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,1.20,1.00,0.76,1.91,,,,,,,
February,3.10,0.57,1.63,1.84,1.41,,,,,,,
March,2.85,2.60,0.69,2.00,1.36,,,,,,,
April,2.80,1.91,2.38,0.26,0.52,,,,,,,
May,2.53,2.52,1.87,2.86,3.99,,,,,,,
June,0.89,0.81,1.77,2.93,1.98,,,,,,,
July,1.64,0.47,3.13,2.58,0.24,,,,,,,
August,2.87,2.53,3.20,3.62,0.83,,,,,,,
September,1.67,3.21,0.95,1.67,1.65,,,,,,,
October,0.97,2.98,1.76,1.72,1.63,,,,,,,
November,3.94,2.56,1.39,4.03,1.44,,,,,,,
December,1.24,1.76,0.46,2.10,2.28,,,,,,,
Total,26.79,23.12,20.23,26.37,19.24,,,,,,,
Calc annual,26.79,23.12,20.23,26.37,19.24,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
