"HORBURY HIGHFIELDS",,,,,,,,,,,,
Grid ref,SE292181,Long,-1.559630,Lat,53.658581,,,,,,,
Station no,3230,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.10,1.10,,
February,,,,,,,,,1.23,0.62,,
March,,,,,,,,,3.04,3.09,,
April,,,,,,,,1.38,2.20,1.90,,
May,,,,,,,,3.05,2.48,1.68,,
June,,,,,,,,2.47,1.40,4.50,,
July,,,,,,,,2.53,2.75,3.76,,
August,,,,,,,,1.56,1.80,2.89,,
September,,,,,,,,0.47,2.76,3.10,,
October,,,,,,,,5.51,0.90,2.82,,
November,,,,,,,,2.84,0.88,0.51,,
December,,,,,,,,1.62,1.33,5.19,,
Total,,,,,,,,25.34,21.87,31.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,21.87,31.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.91,0.00,-0.00,,
