"BALLOCH CASTLE, DUMBARTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 389 831,Long,-4.584873,Lat,56.013361,Elevation,91,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,8.49,8.14,5.26,4.68,9.22,4.76,8.92,7.96,5.4,4.23,8.65,8.74,6.24,9.07,4.12,8.99,5.37,1.74,,,5.94,6.98,9.1,,,,,
February,,,2.33,4.57,5.14,4.41,7.78,4.83,7.01,6.2,5,6.81,5.12,1.52,2.18,1.46,6.92,5.47,2.76,2.84,,,4.98,5.45,6.22,,,,,
March,,,4.8,3,6.36,2.5,3.1,2.6,6.09,1.42,1.2,3.9,5,2.33,5.55,2.18,7.72,3.17,2.99,5.42,,1.47,5.34,2.39,3.07,,,,,
April,,,5.34,4.24,3.64,0.96,1.84,6.3,4.35,1.81,2.51,5.11,1.67,0.32,2.28,2.24,2.24,3.96,2.6,1.17,,2.05,2.79,3.24,1.53,,,,,
May,,,5.33,2.87,1.63,3.14,1.5,3.6,2.74,0.75,3.95,1.25,3.15,3.62,2.64,3.74,0.87,3.35,4.91,2.34,,3.09,2.69,2.84,5.2,,,,,
June,,3.1,4.49,4.3,4.29,1.16,2.83,1.72,2.5,2.73,1.77,2.03,7.6,2.47,1.6,3.84,4.1,3.86,3.77,4.04,,4.77,5.82,3.45,1.56,,,,,
July,,3.15,6.95,0.65,3.16,3.26,4.45,3.9,1.31,2.73,1.78,3.98,7.39,6.34,3.57,2.02,2.93,4.39,0.85,4.77,,6,7.05,4.1,4.76,,,,,
August,,12.11,4.9,4.82,2.42,7.04,7.37,5.35,5.56,0.92,1.78,5.21,4.82,5.57,6.33,5.15,5.89,9.8,4.39,5.29,,5.18,3.45,6,3.29,,,,,
September,,5.95,2.61,7.4,6.36,1.94,6,4.93,3.06,8.51,3.75,1.89,9.56,5.87,6.48,5.9,2.67,2.08,5.52,8.01,,2.84,4.94,3.4,3.86,,,,,
October,,6,9.9,5.55,3.57,5.92,4.21,5.5,5.75,2.37,6.86,5.33,4.48,8.85,9,7.35,6.37,7.92,7.5,3.27,,3.09,4.84,6.95,6.13,,,,,
November,,8.5,3.83,4.7,4.83,4.57,5.66,2.2,4.01,6.85,1.97,3.19,8.6,4.75,6.1,5.57,2.76,7.84,1.89,1.42,,7.75,7.18,8.81,5.74,,,,,
December,,4.1,8.71,7.67,3.21,5.62,7.63,4.31,7.48,6.05,4.03,5.6,7.8,4.61,3.1,5.93,8.25,7.33,1.4,3.96,,5.87,6.09,7.73,4.19,,,,,
Total,,,67.68,57.91,49.87,45.2,61.59,50,58.78,48.3,40,48.53,73.84,54.99,55.07,54.45,54.84,68.16,43.95,44.27,,,61.11,61.34,,,,,,
