WEST DRAYTON (PUMPING STATION),,,,,,,,,,,,
Grid ref,TQ062802,Long,-0.471058,Lat,51.510757,,,,,,,
Station no,843/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,-999.00,2.19,1.99,,
February,,,,,,,,2.30,0.09,2.09,,
March,,,,,,,,1.20,2.17,1.37,,
April,,,,,,,,1.08,2.21,0.56,,
May,,,,,,,,2.52,0.68,1.89,,
June,,,,,,,,3.80,0.91,1.72,,
July,,,,,,,,2.57,2.98,3.57,,
August,,,,,,,,3.31,1.23,2.42,,
September,,,,,,,,4.00,0.03,3.78,,
October,,,,,,,,2.15,1.98,6.16,,
November,,,,,,,,2.02,2.17,4.48,,
December,,,,,,,,3.42,3.30,2.50,,
Total,,,,,,,,31.30,19.94,32.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.37,19.94,32.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.93,0.00,0.00,,
