BRIGHAM (SCAUR CLOSE),,,,,,,,,,
Grid ref,NY075302,Long,-3.4353913,Lat,54.658371,Elevation,147,ft,,
Station no,RR7603,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,6.05,5.37,3.11,3.21,3.45,1.78,
February,,,,3.7,5.88,6.83,1.27,2.5,0.93,
March,,,,2.27,4.6,4.31,4.53,0.99,3.01,
April,,,,1.98,1.34,2.57,2.43,3.02,1.85,
May,,,,0.08,4.28,1.56,4.27,1.76,1.6,
June,,,,2.45,0.61,1.55,0.68,0.82,1.36,
July,,,,3.12,4.94,3.7,4.36,3.32,5.04,
August,,,,3.39,2.67,1.73,1.37,1.7,3.97,
September,,,,2.77,4.45,6.6,6.63,5.1,1.37,
October,,,,3.89,3.66,3.83,3.05,3.3,4.38,
November,,,,6.08,2.15,2.66,4.86,2.2,4.2,
December,,,,4.33,4.3,1.56,4.95,3.26,4.1,
Total,,,,40.11,44.25,40.01,41.61,31.42,33.59,
